Payment_ID,Customer_ID,Payment_Date,Amount,Payment_Method,Payment_Status,Payment_Month
PAY0000038,CUST00006,2025-12-19,799,Net Banking,Success,2025-12
PAY0000039,CUST00006,2026-01-19,799,Net Banking,Failed,2026-01
PAY0000040,CUST00006,2026-02-19,799,Net Banking,Success,2026-02
PAY0000041,CUST00006,2026-03-19,799,Net Banking,Success,2026-03
PAY0000042,CUST00006,2026-04-19,799,Net Banking,Success,2026-04
PAY0000043,CUST00006,2026-05-19,799,Net Banking,Success,2026-05
PAY0000044,CUST00007,2026-04-04,799,AutoPay,Success,2026-04
PAY0000045,CUST00007,2026-05-04,799,AutoPay,Success,2026-05
PAY0000046,CUST00008,2024-05-21,499,Credit Card,Success,2024-05
PAY0000047,CUST00008,2024-06-21,499,Credit Card,Success,2024-06
PAY0000048,CUST00008,2024-07-21,499,Credit Card,Success,2024-07
PAY0000049,CUST00008,2024-08-21,499,Credit Card,Success,2024-08
PAY0000050,CUST00008,2024-09-21,499,Credit Card,Success,2024-09
PAY0000051,CUST00008,2024-10-21,499,Credit Card,Success,2024-10
PAY0000052,CUST00008,2024-11-21,499,Credit Card,Success,2024-11
PAY0000053,CUST00008,2024-12-21,499,Credit Card,Success,2024-12
PAY0000054,CUST00008,2025-01-21,499,Credit Card,Success,2025-01
PAY0000055,CUST00008,2025-02-21,499,Credit Card,Success,2025-02
PAY0000056,CUST00008,2025-03-21,499,Credit Card,Success,2025-03
PAY0000057,CUST00008,2025-04-21,499,Credit Card,Success,2025-04
PAY0000058,CUST00009,2025-11-27,1199,Net Banking,Success,2025-11
PAY0000059,CUST00009,2025-12-27,1199,Net Banking,Success,2025-12
PAY0000060,CUST00009,2026-01-27,1199,Net Banking,Success,2026-01
PAY0000061,CUST00009,2026-02-27,1199,Net Banking,Success,2026-02
PAY0000062,CUST00009,2026-03-27,1199,Net Banking,Success,2026-03
PAY0000063,CUST00009,2026-04-27,1199,Net Banking,Success,2026-04
PAY0000064,CUST00010,2024-01-04,499,Debit Card,Success,2024-01
PAY0000065,CUST00010,2024-02-04,499,Debit Card,Success,2024-02
PAY0000066,CUST00010,2024-03-04,1497,Debit Card,Success,2024-03
PAY0000067,CUST00010,2024-04-04,1497,Debit Card,Success,2024-04
PAY0000068,CUST00010,2024-05-04,499,Debit Card,Success,2024-05
PAY0000069,CUST00010,2024-06-04,1497,Debit Card,Success,2024-06
PAY0000070,CUST00010,2024-07-04,499,Debit Card,Success,2024-07
PAY0000071,CUST00010,2024-08-04,998,Debit Card,Success,2024-08
PAY0000072,CUST00010,2024-09-04,499,Debit Card,Success,2024-09
PAY0000073,CUST00010,2024-10-04,499,Debit Card,Success,2024-10
PAY0000074,CUST00010,2024-11-04,499,Debit Card,Success,2024-11
PAY0000075,CUST00010,2024-12-04,499,Debit Card,Success,2024-12
PAY0000076,CUST00011,2024-09-02,5988,UPI,Success,2024-09
PAY0000077,CUST00011,2024-10-02,998,UPI,Success,2024-10
PAY0000078,CUST00011,2024-11-02,1497,UPI,Success,2024-11
PAY0000079,CUST00011,2024-12-02,499,UPI,Success,2024-12
PAY0000080,CUST00011,2025-01-02,499,UPI,Success,2025-01
PAY0000081,CUST00011,2025-02-02,1497,UPI,Success,2025-02
PAY0000082,CUST00011,2025-03-02,1497,UPI,Success,2025-03
PAY0000083,CUST00011,2025-04-02,998,UPI,Success,2025-04
PAY0000084,CUST00011,2025-05-02,499,UPI,Success,2025-05
PAY0000085,CUST00011,2025-06-02,1497,UPI,Success,2025-06
PAY0000086,CUST00011,2025-07-02,5988,UPI,Success,2025-07
PAY0000087,CUST00011,2025-08-02,5988,UPI,Success,2025-08
PAY0000088,CUST00012,2024-07-24,1499,Net Banking,Failed,2024-07
PAY0000089,CUST00012,2024-08-24,1499,Net Banking,Success,2024-08
PAY0000090,CUST00012,2024-09-24,1499,Net Banking,Failed,2024-09
PAY0000091,CUST00012,2024-10-24,1499,Net Banking,Success,2024-10
PAY0000092,CUST00012,2024-11-24,4497,Net Banking,Success,2024-11
PAY0000093,CUST00012,2024-12-24,4497,Net Banking,Success,2024-12
PAY0000094,CUST00012,2025-01-24,1499,Net Banking,Success,2025-01
PAY0000095,CUST00012,2025-02-24,4497,Net Banking,Success,2025-02
PAY0000096,CUST00012,2025-03-24,1499,Net Banking,Success,2025-03
PAY0000097,CUST00012,2025-04-24,1499,Net Banking,Success,2025-04
PAY0000098,CUST00012,2025-05-24,1499,Net Banking,Success,2025-05
PAY0000099,CUST00012,2025-06-24,17988,Net Banking,Success,2025-06
PAY0000100,CUST00013,2025-10-08,1199,Credit Card,Success,2025-10
PAY0000101,CUST00013,2025-11-08,1199,Credit Card,Success,2025-11
PAY0000102,CUST00013,2025-12-08,1199,Credit Card,Success,2025-12
PAY0000103,CUST00013,2026-01-08,1199,Credit Card,Success,2026-01
PAY0000104,CUST00013,2026-02-08,1199,Credit Card,Success,2026-02
PAY0000105,CUST00013,2026-03-08,1199,Credit Card,Success,2026-03
PAY0000106,CUST00013,2026-04-08,1199,Credit Card,Failed,2026-04
PAY0000107,CUST00014,2024-08-07,799,Net Banking,Success,2024-08
PAY0000108,CUST00014,2024-09-07,9588,Net Banking,Success,2024-09
PAY0000109,CUST00014,2024-10-07,1598,Net Banking,Success,2024-10
PAY0000110,CUST00014,2024-11-07,799,Net Banking,Success,2024-11
PAY0000111,CUST00014,2024-12-07,1598,Net Banking,Success,2024-12
PAY0000112,CUST00014,2025-01-07,1598,Net Banking,Success,2025-01
PAY0000113,CUST00014,2025-02-07,1598,Net Banking,Failed,2025-02
PAY0000114,CUST00014,2025-03-07,9588,Net Banking,Success,2025-03
PAY0000115,CUST00014,2025-04-07,799,Net Banking,Success,2025-04
PAY0000116,CUST00014,2025-05-07,9588,Net Banking,Success,2025-05
PAY0000117,CUST00014,2025-06-07,9588,Net Banking,Success,2025-06
PAY0000118,CUST00014,2025-07-07,9588,Net Banking,Success,2025-07
PAY0000119,CUST00015,2024-04-10,799,AutoPay,Success,2024-04
PAY0000120,CUST00015,2024-05-10,799,AutoPay,Success,2024-05
PAY0000121,CUST00015,2024-06-10,799,AutoPay,Success,2024-06
PAY0000122,CUST00015,2024-07-10,799,AutoPay,Success,2024-07
PAY0000123,CUST00015,2024-08-10,799,AutoPay,Success,2024-08
PAY0000124,CUST00015,2024-09-10,799,AutoPay,Success,2024-09
PAY0000125,CUST00015,2024-10-10,799,AutoPay,Failed,2024-10
PAY0000126,CUST00015,2024-11-10,799,AutoPay,Success,2024-11
PAY0000127,CUST00015,2024-12-10,799,AutoPay,Success,2024-12
PAY0000128,CUST00015,2025-01-10,799,AutoPay,Success,2025-01
PAY0000129,CUST00015,2025-02-10,799,AutoPay,Success,2025-02
PAY0000130,CUST00015,2025-03-10,799,AutoPay,Success,2025-03
PAY0000131,CUST00016,2024-02-21,799,Net Banking,Success,2024-02
PAY0000132,CUST00016,2024-03-21,799,Net Banking,Success,2024-03
PAY0000133,CUST00016,2024-04-21,799,Net Banking,Success,2024-04
PAY0000134,CUST00016,2024-05-21,799,Net Banking,Success,2024-05
PAY0000135,CUST00016,2024-06-21,799,Net Banking,Success,2024-06
PAY0000136,CUST00016,2024-07-21,799,Net Banking,Success,2024-07
PAY0000137,CUST00016,2024-08-21,799,Net Banking,Success,2024-08
PAY0000138,CUST00016,2024-09-21,799,Net Banking,Failed,2024-09
PAY0000139,CUST00016,2024-10-21,799,Net Banking,Success,2024-10
PAY0000140,CUST00016,2024-11-21,799,Net Banking,Success,2024-11
PAY0000141,CUST00016,2024-12-21,799,Net Banking,Success,2024-12
PAY0000142,CUST00016,2025-01-21,799,Net Banking,Success,2025-01
PAY0000143,CUST00017,2025-02-14,1499,Net Banking,Success,2025-02
PAY0000144,CUST00017,2025-03-14,1499,Net Banking,Success,2025-03
PAY0000145,CUST00017,2025-04-14,1499,Net Banking,Failed,2025-04
PAY0000146,CUST00017,2025-05-14,1499,Net Banking,Success,2025-05
PAY0000147,CUST00017,2025-06-14,1499,Net Banking,Success,2025-06
PAY0000148,CUST00017,2025-07-14,1499,Net Banking,Success,2025-07
PAY0000149,CUST00017,2025-08-14,1499,Net Banking,Success,2025-08
PAY0000150,CUST00017,2025-09-14,1499,Net Banking,Success,2025-09
PAY0000151,CUST00017,2025-10-14,1499,Net Banking,Success,2025-10
PAY0000152,CUST00017,2025-11-14,1499,Net Banking,Failed,2025-11
PAY0000153,CUST00017,2025-12-14,1499,Net Banking,Success,2025-12
PAY0000154,CUST00017,2026-01-14,1499,Net Banking,Success,2026-01
PAY0000155,CUST00018,2025-12-14,799,UPI,Success,2025-12
PAY0000156,CUST00018,2026-01-14,799,UPI,Success,2026-01
PAY0000157,CUST00018,2026-02-14,799,UPI,Success,2026-02
PAY0000158,CUST00018,2026-03-14,799,UPI,Success,2026-03
PAY0000159,CUST00018,2026-04-14,799,UPI,Success,2026-04
PAY0000160,CUST00019,2024-02-28,1497,Credit Card,Success,2024-02
PAY0000161,CUST00019,2024-03-28,499,Credit Card,Success,2024-03
PAY0000162,CUST00019,2024-04-28,998,Credit Card,Success,2024-04
PAY0000163,CUST00019,2024-05-28,5988,Credit Card,Failed,2024-05
PAY0000164,CUST00019,2024-06-28,1497,Credit Card,Success,2024-06
PAY0000165,CUST00019,2024-07-28,1497,Credit Card,Success,2024-07
PAY0000166,CUST00019,2024-08-28,1497,Credit Card,Success,2024-08
PAY0000167,CUST00019,2024-09-28,499,Credit Card,Success,2024-09
PAY0000168,CUST00019,2024-10-28,499,Credit Card,Success,2024-10
PAY0000169,CUST00019,2024-11-28,499,Credit Card,Success,2024-11
PAY0000170,CUST00019,2024-12-28,5988,Credit Card,Success,2024-12
PAY0000171,CUST00019,2025-01-28,5988,Credit Card,Success,2025-01
PAY0000172,CUST00020,2024-11-17,1199,UPI,Success,2024-11
PAY0000173,CUST00020,2024-12-17,1199,UPI,Success,2024-12
PAY0000174,CUST00020,2025-01-17,1199,UPI,Success,2025-01
PAY0000175,CUST00020,2025-02-17,1199,UPI,Success,2025-02
PAY0000176,CUST00020,2025-03-17,1199,UPI,Success,2025-03
PAY0000177,CUST00020,2025-04-17,1199,UPI,Success,2025-04
PAY0000178,CUST00020,2025-05-17,1199,UPI,Success,2025-05
PAY0000179,CUST00020,2025-06-17,1199,UPI,Failed,2025-06
PAY0000180,CUST00020,2025-07-17,1199,UPI,Failed,2025-07
PAY0000181,CUST00020,2025-08-17,1199,UPI,Success,2025-08
PAY0000182,CUST00020,2025-09-17,1199,UPI,Success,2025-09
PAY0000183,CUST00020,2025-10-17,1199,UPI,Success,2025-10
PAY0000184,CUST00021,2025-09-28,1199,Debit Card,Failed,2025-09
PAY0000185,CUST00021,2025-10-28,1199,Debit Card,Success,2025-10
PAY0000186,CUST00021,2025-11-28,1199,Debit Card,Success,2025-11
PAY0000187,CUST00021,2025-12-28,1199,Debit Card,Success,2025-12
PAY0000188,CUST00021,2026-01-28,1199,Debit Card,Success,2026-01
PAY0000189,CUST00021,2026-02-28,1199,Debit Card,Success,2026-02
PAY0000190,CUST00021,2026-03-28,1199,Debit Card,Success,2026-03
PAY0000191,CUST00021,2026-04-28,1199,Debit Card,Success,2026-04
PAY0000192,CUST00021,2026-05-28,1199,Debit Card,Success,2026-05
PAY0000193,CUST00022,2025-09-18,499,Credit Card,Success,2025-09
PAY0000194,CUST00022,2025-10-18,5988,Credit Card,Success,2025-10
PAY0000195,CUST00022,2025-11-18,5988,Credit Card,Success,2025-11
PAY0000196,CUST00022,2025-12-18,499,Credit Card,Success,2025-12
PAY0000197,CUST00022,2026-01-18,1497,Credit Card,Success,2026-01
PAY0000198,CUST00022,2026-02-18,998,Credit Card,Success,2026-02
PAY0000199,CUST00022,2026-03-18,499,Credit Card,Success,2026-03
PAY0000200,CUST00022,2026-04-18,499,Credit Card,Failed,2026-04
PAY0000201,CUST00022,2026-05-18,499,Credit Card,Success,2026-05
PAY0000202,CUST00023,2025-10-11,3597,Debit Card,Success,2025-10
PAY0000203,CUST00023,2025-11-11,1199,Debit Card,Success,2025-11
PAY0000204,CUST00023,2025-12-11,1199,Debit Card,Success,2025-12
PAY0000205,CUST00023,2026-01-11,3597,Debit Card,Success,2026-01
PAY0000206,CUST00023,2026-02-11,3597,Debit Card,Success,2026-02
PAY0000207,CUST00023,2026-03-11,1199,Debit Card,Success,2026-03
PAY0000208,CUST00023,2026-04-11,2398,Debit Card,Success,2026-04
PAY0000209,CUST00024,2024-05-10,1199,Credit Card,Success,2024-05
PAY0000210,CUST00024,2024-06-10,1199,Credit Card,Success,2024-06
PAY0000211,CUST00024,2024-07-10,1199,Credit Card,Success,2024-07
PAY0000212,CUST00024,2024-08-10,1199,Credit Card,Success,2024-08
PAY0000213,CUST00024,2024-09-10,1199,Credit Card,Success,2024-09
PAY0000214,CUST00024,2024-10-10,1199,Credit Card,Success,2024-10
PAY0000215,CUST00024,2024-11-10,1199,Credit Card,Success,2024-11
PAY0000216,CUST00024,2024-12-10,1199,Credit Card,Failed,2024-12
PAY0000217,CUST00024,2025-01-10,1199,Credit Card,Success,2025-01
PAY0000218,CUST00024,2025-02-10,1199,Credit Card,Success,2025-02
PAY0000219,CUST00024,2025-03-10,1199,Credit Card,Success,2025-03
PAY0000220,CUST00024,2025-04-10,1199,Credit Card,Success,2025-04
PAY0000221,CUST00025,2026-03-09,799,Credit Card,Success,2026-03
PAY0000222,CUST00025,2026-04-09,9588,Credit Card,Success,2026-04
PAY0000223,CUST00025,2026-05-09,799,Credit Card,Success,2026-05
PAY0000224,CUST00026,2026-03-12,1598,UPI,Success,2026-03
PAY0000225,CUST00026,2026-04-12,799,UPI,Success,2026-04
PAY0000226,CUST00026,2026-05-12,799,UPI,Success,2026-05
PAY0000227,CUST00027,2026-04-16,799,Credit Card,Success,2026-04
PAY0000228,CUST00028,2024-03-12,3597,UPI,Failed,2024-03
PAY0000229,CUST00028,2024-04-12,1199,UPI,Success,2024-04
PAY0000230,CUST00028,2024-05-12,1199,UPI,Success,2024-05
PAY0000231,CUST00028,2024-06-12,1199,UPI,Success,2024-06
PAY0000232,CUST00028,2024-07-12,3597,UPI,Success,2024-07
PAY0000233,CUST00028,2024-08-12,2398,UPI,Success,2024-08
PAY0000234,CUST00028,2024-09-12,1199,UPI,Success,2024-09
PAY0000235,CUST00028,2024-10-12,14388,UPI,Success,2024-10
PAY0000236,CUST00028,2024-11-12,1199,UPI,Success,2024-11
PAY0000237,CUST00028,2024-12-12,2398,UPI,Success,2024-12
PAY0000238,CUST00028,2025-01-12,3597,UPI,Success,2025-01
PAY0000239,CUST00028,2025-02-12,3597,UPI,Success,2025-02
PAY0000240,CUST00029,2024-04-28,1497,UPI,Success,2024-04
PAY0000241,CUST00029,2024-05-28,499,UPI,Success,2024-05
PAY0000242,CUST00029,2024-06-28,5988,UPI,Success,2024-06
PAY0000243,CUST00029,2024-07-28,499,UPI,Success,2024-07
PAY0000244,CUST00029,2024-08-28,5988,UPI,Success,2024-08
PAY0000245,CUST00029,2024-09-28,499,UPI,Success,2024-09
PAY0000246,CUST00029,2024-10-28,1497,UPI,Success,2024-10
PAY0000247,CUST00029,2024-11-28,499,UPI,Success,2024-11
PAY0000248,CUST00029,2024-12-28,5988,UPI,Success,2024-12
PAY0000249,CUST00029,2025-01-28,998,UPI,Success,2025-01
PAY0000250,CUST00029,2025-02-28,499,UPI,Success,2025-02
PAY0000251,CUST00029,2025-03-28,998,UPI,Failed,2025-03
PAY0000252,CUST00030,2025-12-14,2998,Net Banking,Success,2025-12
PAY0000253,CUST00030,2026-01-14,2998,Net Banking,Success,2026-01
PAY0000254,CUST00030,2026-02-14,2998,Net Banking,Success,2026-02
PAY0000255,CUST00030,2026-03-14,17988,Net Banking,Success,2026-03
PAY0000256,CUST00030,2026-04-14,1499,Net Banking,Success,2026-04
PAY0000257,CUST00031,2025-06-07,1199,AutoPay,Success,2025-06
PAY0000258,CUST00031,2025-07-07,1199,AutoPay,Success,2025-07
PAY0000259,CUST00031,2025-08-07,1199,AutoPay,Success,2025-08
PAY0000260,CUST00031,2025-09-07,1199,AutoPay,Success,2025-09
PAY0000261,CUST00031,2025-10-07,1199,AutoPay,Success,2025-10
PAY0000262,CUST00031,2025-11-07,1199,AutoPay,Success,2025-11
PAY0000263,CUST00031,2025-12-07,1199,AutoPay,Success,2025-12
PAY0000264,CUST00031,2026-01-07,1199,AutoPay,Success,2026-01
PAY0000265,CUST00031,2026-02-07,1199,AutoPay,Success,2026-02
PAY0000266,CUST00031,2026-03-07,1199,AutoPay,Success,2026-03
PAY0000267,CUST00031,2026-04-07,1199,AutoPay,Success,2026-04
PAY0000268,CUST00031,2026-05-07,1199,AutoPay,Success,2026-05
PAY0000269,CUST00032,2024-05-28,499,AutoPay,Success,2024-05
PAY0000270,CUST00032,2024-06-28,499,AutoPay,Success,2024-06
PAY0000271,CUST00032,2024-07-28,499,AutoPay,Success,2024-07
PAY0000272,CUST00032,2024-08-28,499,AutoPay,Success,2024-08
PAY0000273,CUST00032,2024-09-28,499,AutoPay,Success,2024-09
PAY0000274,CUST00032,2024-10-28,499,AutoPay,Success,2024-10
PAY0000275,CUST00032,2024-11-28,499,AutoPay,Success,2024-11
PAY0000276,CUST00032,2024-12-28,499,AutoPay,Failed,2024-12
PAY0000277,CUST00032,2025-01-28,499,AutoPay,Success,2025-01
PAY0000278,CUST00032,2025-02-28,499,AutoPay,Success,2025-02
PAY0000279,CUST00032,2025-03-28,499,AutoPay,Success,2025-03
PAY0000280,CUST00032,2025-04-28,499,AutoPay,Success,2025-04
PAY0000281,CUST00033,2026-02-07,1598,AutoPay,Success,2026-02
PAY0000282,CUST00033,2026-03-07,799,AutoPay,Success,2026-03
PAY0000283,CUST00033,2026-04-07,1598,AutoPay,Success,2026-04
PAY0000284,CUST00033,2026-05-07,9588,AutoPay,Success,2026-05
PAY0000285,CUST00034,2025-06-27,17988,AutoPay,Failed,2025-06
PAY0000286,CUST00034,2025-07-27,2998,AutoPay,Success,2025-07
PAY0000287,CUST00034,2025-08-27,2998,AutoPay,Success,2025-08
PAY0000288,CUST00034,2025-09-27,1499,AutoPay,Success,2025-09
PAY0000289,CUST00034,2025-10-27,1499,AutoPay,Failed,2025-10
PAY0000290,CUST00034,2025-11-27,17988,AutoPay,Success,2025-11
PAY0000291,CUST00034,2025-12-27,1499,AutoPay,Success,2025-12
PAY0000292,CUST00034,2026-01-27,4497,AutoPay,Success,2026-01
PAY0000293,CUST00034,2026-02-27,2998,AutoPay,Success,2026-02
PAY0000294,CUST00034,2026-03-27,17988,AutoPay,Success,2026-03
PAY0000295,CUST00034,2026-04-27,1499,AutoPay,Success,2026-04
PAY0000296,CUST00034,2026-05-27,1499,AutoPay,Success,2026-05
PAY0000297,CUST00035,2025-03-26,1199,AutoPay,Success,2025-03
PAY0000298,CUST00035,2025-04-26,1199,AutoPay,Success,2025-04
PAY0000299,CUST00035,2025-05-26,1199,AutoPay,Success,2025-05
PAY0000300,CUST00035,2025-06-26,1199,AutoPay,Success,2025-06
PAY0000301,CUST00035,2025-07-26,1199,AutoPay,Success,2025-07
PAY0000302,CUST00035,2025-08-26,1199,AutoPay,Success,2025-08
PAY0000303,CUST00035,2025-09-26,1199,AutoPay,Success,2025-09
PAY0000304,CUST00035,2025-10-26,1199,AutoPay,Success,2025-10
PAY0000305,CUST00035,2025-11-26,1199,AutoPay,Success,2025-11
PAY0000306,CUST00035,2025-12-26,1199,AutoPay,Success,2025-12
PAY0000307,CUST00035,2026-01-26,1199,AutoPay,Success,2026-01
PAY0000308,CUST00035,2026-02-26,1199,AutoPay,Success,2026-02
PAY0000309,CUST00036,2024-12-04,1598,Net Banking,Success,2024-12
PAY0000310,CUST00036,2025-01-04,1598,Net Banking,Success,2025-01
PAY0000311,CUST00036,2025-02-04,2397,Net Banking,Success,2025-02
PAY0000312,CUST00036,2025-03-04,9588,Net Banking,Success,2025-03
PAY0000313,CUST00036,2025-04-04,9588,Net Banking,Success,2025-04
PAY0000314,CUST00036,2025-05-04,2397,Net Banking,Success,2025-05
PAY0000315,CUST00036,2025-06-04,2397,Net Banking,Success,2025-06
PAY0000316,CUST00036,2025-07-04,799,Net Banking,Success,2025-07
PAY0000317,CUST00036,2025-08-04,1598,Net Banking,Success,2025-08
PAY0000318,CUST00036,2025-09-04,799,Net Banking,Success,2025-09
PAY0000319,CUST00036,2025-10-04,799,Net Banking,Success,2025-10
PAY0000320,CUST00036,2025-11-04,1598,Net Banking,Success,2025-11
PAY0000321,CUST00037,2025-05-12,9588,Credit Card,Success,2025-05
PAY0000322,CUST00037,2025-06-12,1598,Credit Card,Success,2025-06
PAY0000323,CUST00037,2025-07-12,799,Credit Card,Success,2025-07
PAY0000324,CUST00037,2025-08-12,1598,Credit Card,Success,2025-08
PAY0000325,CUST00037,2025-09-12,799,Credit Card,Success,2025-09
PAY0000326,CUST00037,2025-10-12,799,Credit Card,Success,2025-10
PAY0000327,CUST00037,2025-11-12,799,Credit Card,Success,2025-11
PAY0000328,CUST00037,2025-12-12,1598,Credit Card,Success,2025-12
PAY0000329,CUST00037,2026-01-12,799,Credit Card,Success,2026-01
PAY0000330,CUST00037,2026-02-12,799,Credit Card,Success,2026-02
PAY0000331,CUST00037,2026-03-12,1598,Credit Card,Success,2026-03
PAY0000332,CUST00037,2026-04-12,799,Credit Card,Success,2026-04
PAY0000333,CUST00038,2024-12-11,3597,Net Banking,Success,2024-12
PAY0000334,CUST00038,2025-01-11,1199,Net Banking,Success,2025-01
PAY0000335,CUST00038,2025-02-11,1199,Net Banking,Success,2025-02
PAY0000336,CUST00038,2025-03-11,1199,Net Banking,Success,2025-03
PAY0000337,CUST00038,2025-04-11,2398,Net Banking,Success,2025-04
PAY0000338,CUST00038,2025-05-11,14388,Net Banking,Failed,2025-05
PAY0000339,CUST00038,2025-06-11,1199,Net Banking,Success,2025-06
PAY0000340,CUST00038,2025-07-11,3597,Net Banking,Success,2025-07
PAY0000341,CUST00038,2025-08-11,1199,Net Banking,Failed,2025-08
PAY0000342,CUST00038,2025-09-11,2398,Net Banking,Success,2025-09
PAY0000343,CUST00038,2025-10-11,14388,Net Banking,Success,2025-10
PAY0000344,CUST00038,2025-11-11,1199,Net Banking,Success,2025-11
PAY0000345,CUST00039,2026-02-24,1598,UPI,Success,2026-02
PAY0000346,CUST00039,2026-03-24,9588,UPI,Success,2026-03
PAY0000347,CUST00039,2026-04-24,799,UPI,Success,2026-04
PAY0000348,CUST00040,2024-03-18,1199,AutoPay,Success,2024-03
PAY0000349,CUST00040,2024-04-18,3597,AutoPay,Success,2024-04
PAY0000350,CUST00040,2024-05-18,14388,AutoPay,Success,2024-05
PAY0000351,CUST00040,2024-06-18,1199,AutoPay,Success,2024-06
PAY0000352,CUST00040,2024-07-18,1199,AutoPay,Success,2024-07
PAY0000353,CUST00040,2024-08-18,2398,AutoPay,Success,2024-08
PAY0000354,CUST00040,2024-09-18,2398,AutoPay,Success,2024-09
PAY0000355,CUST00040,2024-10-18,1199,AutoPay,Success,2024-10
PAY0000356,CUST00040,2024-11-18,2398,AutoPay,Success,2024-11
PAY0000357,CUST00040,2024-12-18,1199,AutoPay,Success,2024-12
PAY0000358,CUST00040,2025-01-18,14388,AutoPay,Success,2025-01
PAY0000359,CUST00040,2025-02-18,2398,AutoPay,Success,2025-02
PAY0000360,CUST00041,2025-12-25,1499,AutoPay,Success,2025-12
PAY0000361,CUST00041,2026-01-25,1499,AutoPay,Success,2026-01
PAY0000362,CUST00041,2026-02-25,1499,AutoPay,Success,2026-02
PAY0000363,CUST00041,2026-03-25,1499,AutoPay,Success,2026-03
PAY0000364,CUST00041,2026-04-25,1499,AutoPay,Success,2026-04
PAY0000365,CUST00042,2024-09-08,4497,Net Banking,Success,2024-09
PAY0000366,CUST00042,2024-10-08,1499,Net Banking,Failed,2024-10
PAY0000367,CUST00042,2024-11-08,4497,Net Banking,Success,2024-11
PAY0000368,CUST00042,2024-12-08,1499,Net Banking,Success,2024-12
PAY0000369,CUST00042,2025-01-08,1499,Net Banking,Success,2025-01
PAY0000370,CUST00042,2025-02-08,1499,Net Banking,Success,2025-02
PAY0000371,CUST00042,2025-03-08,17988,Net Banking,Success,2025-03
PAY0000372,CUST00042,2025-04-08,2998,Net Banking,Success,2025-04
PAY0000373,CUST00042,2025-05-08,2998,Net Banking,Failed,2025-05
PAY0000374,CUST00042,2025-06-08,4497,Net Banking,Success,2025-06
PAY0000375,CUST00042,2025-07-08,1499,Net Banking,Success,2025-07
PAY0000376,CUST00042,2025-08-08,17988,Net Banking,Success,2025-08
PAY0000377,CUST00043,2025-05-02,499,Credit Card,Success,2025-05
PAY0000378,CUST00043,2025-06-02,499,Credit Card,Success,2025-06
PAY0000379,CUST00043,2025-07-02,499,Credit Card,Success,2025-07
PAY0000380,CUST00043,2025-08-02,499,Credit Card,Success,2025-08
PAY0000381,CUST00043,2025-09-02,499,Credit Card,Success,2025-09
PAY0000382,CUST00043,2025-10-02,499,Credit Card,Success,2025-10
