Usage_ID,Customer_ID,Usage_Month,Usage_Hours,Sessions,Data_Usage_GB,Usage_Issue_Count
U00015_13,CUST00015,2025-04-01,50.11,20,40.95,0
U00015_14,CUST00015,2025-05-01,28.58,27,33.98,1
U00015_15,CUST00015,2025-06-01,48.47,19,21.68,2
U00015_16,CUST00015,2025-07-01,14.42,11,39.53,3
U00015_17,CUST00015,2025-08-01,14.68,19,29.43,3
U00015_18,CUST00015,2025-09-01,6.08,7,52.02,1
U00016_01,CUST00016,2024-02-01,1.7,15,20.8,1
U00016_02,CUST00016,2024-03-01,8.3,26,16.44,0
U00016_03,CUST00016,2024-04-01,17.01,3,34.54,1
U00016_04,CUST00016,2024-05-01,28.78,8,28.51,0
U00016_05,CUST00016,2024-06-01,16.21,15,52.77,3
U00016_06,CUST00016,2024-07-01,17.15,16,32.48,1
U00016_07,CUST00016,2024-08-01,12.97,23,31.19,0
U00016_08,CUST00016,2024-09-01,13.87,18,41.16,1
U00016_09,CUST00016,2024-10-01,24.46,11,36.03,0
U00016_10,CUST00016,2024-11-01,36.27,10,34.77,2
U00016_11,CUST00016,2024-12-01,13.3,17,52.03,2
U00016_12,CUST00016,2025-01-01,36.23,26,21.1,1
U00016_13,CUST00016,2025-02-01,46.27,17,35.29,3
U00016_14,CUST00016,2025-03-01,17.31,24,42.47,2
U00016_15,CUST00016,2025-04-01,27.61,18,21.71,0
U00016_16,CUST00016,2025-05-01,9.68,7,23.15,1
U00016_17,CUST00016,2025-06-01,44.66,29,42.1,1
U00016_18,CUST00016,2025-07-01,34.1,15,27.46,0
U00017_01,CUST00017,2025-02-01,21.33,17,30.11,0
U00017_02,CUST00017,2025-03-01,27.36,11,22.16,0
U00017_03,CUST00017,2025-04-01,22.28,27,47.15,0
U00017_04,CUST00017,2025-05-01,30.69,17,30.41,1
U00017_05,CUST00017,2025-06-01,50.87,19,16.07,3
U00017_06,CUST00017,2025-07-01,25.75,21,33.39,3
U00017_07,CUST00017,2025-08-01,26.59,8,19.56,1
U00017_08,CUST00017,2025-09-01,12.92,30,23.72,0
U00017_09,CUST00017,2025-10-01,11.71,33,37.24,1
U00017_10,CUST00017,2025-11-01,12.56,18,30.53,1
U00017_11,CUST00017,2025-12-01,14.16,8,35.14,0
U00017_12,CUST00017,2026-01-01,20.04,7,12.87,3
U00017_13,CUST00017,2026-02-01,23.87,14,28.21,0
U00017_14,CUST00017,2026-03-01,17.75,13,21.85,0
U00017_15,CUST00017,2026-04-01,13.89,16,34.34,2
U00018_01,CUST00018,2025-12-01,11.06,18,24.64,3
U00018_02,CUST00018,2026-01-01,38.57,18,39.8,2
U00018_03,CUST00018,2026-02-01,22.43,15,37.04,1
U00018_04,CUST00018,2026-03-01,27.79,12,18.69,0
U00018_05,CUST00018,2026-04-01,21.12,22,20.97,1
U00019_01,CUST00019,2024-02-01,18.06,12,7.63,3
U00019_02,CUST00019,2024-03-01,40.0,17,26.18,1
U00019_03,CUST00019,2024-04-01,20.19,8,14.28,0
U00019_04,CUST00019,2024-05-01,10.45,21,18.54,0
U00019_05,CUST00019,2024-06-01,20.84,4,20.83,0
U00019_06,CUST00019,2024-07-01,12.06,11,22.17,0
U00019_07,CUST00019,2024-08-01,17.64,28,12.36,0
U00019_08,CUST00019,2024-09-01,15.58,20,11.72,0
U00019_09,CUST00019,2024-10-01,22.03,18,2.66,1
U00019_10,CUST00019,2024-11-01,32.94,8,15.75,0
U00019_11,CUST00019,2024-12-01,38.06,15,12.23,0
U00019_12,CUST00019,2025-01-01,2.36,14,21.92,1
U00019_13,CUST00019,2025-02-01,19.89,22,0.2,1
U00019_14,CUST00019,2025-03-01,55.73,14,9.15,1
U00019_15,CUST00019,2025-04-01,7.8,6,20.85,2
U00019_16,CUST00019,2025-05-01,22.62,6,13.93,1
U00019_17,CUST00019,2025-06-01,19.04,24,25.42,1
U00019_18,CUST00019,2025-07-01,23.83,9,18.63,1
U00020_01,CUST00020,2024-11-01,12.79,22,45.11,1
U00020_02,CUST00020,2024-12-01,23.59,11,36.56,0
U00020_03,CUST00020,2025-01-01,13.37,24,46.56,3
U00020_04,CUST00020,2025-02-01,49.84,10,12.34,1
U00020_05,CUST00020,2025-03-01,17.56,16,18.59,4
U00020_06,CUST00020,2025-04-01,32.95,26,30.6,3
U00020_07,CUST00020,2025-05-01,24.19,18,36.0,1
U00020_08,CUST00020,2025-06-01,13.29,21,39.24,1
U00020_09,CUST00020,2025-07-01,4.93,18,39.53,2
U00020_10,CUST00020,2025-08-01,24.93,16,23.49,1
U00020_11,CUST00020,2025-09-01,47.08,20,26.85,2
U00020_12,CUST00020,2025-10-01,9.57,7,20.94,0
U00020_13,CUST00020,2025-11-01,29.9,15,23.83,3
U00020_14,CUST00020,2025-12-01,4.07,7,44.63,1
U00020_15,CUST00020,2026-01-01,14.21,35,33.26,1
U00020_16,CUST00020,2026-02-01,12.97,25,37.93,0
U00020_17,CUST00020,2026-03-01,19.98,27,30.3,3
U00021_01,CUST00021,2025-09-01,17.5,11,43.99,1
U00021_02,CUST00021,2025-10-01,4.75,18,14.32,0
U00021_03,CUST00021,2025-11-01,34.97,16,37.14,1
U00021_04,CUST00021,2025-12-01,14.39,19,28.22,1
U00021_05,CUST00021,2026-01-01,32.74,23,22.02,3
U00021_06,CUST00021,2026-02-01,23.86,11,23.08,0
U00021_07,CUST00021,2026-03-01,17.5,20,28.96,1
U00021_08,CUST00021,2026-04-01,44.98,1,40.84,0
U00021_09,CUST00021,2026-05-01,23.14,18,16.37,2
U00022_01,CUST00022,2025-09-01,16.76,19,9.72,0
U00022_02,CUST00022,2025-10-01,21.11,21,27.04,0
U00022_03,CUST00022,2025-11-01,49.2,10,18.21,1
U00022_04,CUST00022,2025-12-01,12.62,13,24.02,0
U00022_05,CUST00022,2026-01-01,14.87,11,3.54,3
U00022_06,CUST00022,2026-02-01,21.21,24,17.22,1
U00022_07,CUST00022,2026-03-01,23.82,12,31.09,1
U00022_08,CUST00022,2026-04-01,14.06,24,11.32,1
U00022_09,CUST00022,2026-05-01,15.22,26,5.81,2
U00023_01,CUST00023,2025-10-01,36.99,28,30.13,0
U00023_02,CUST00023,2025-11-01,34.16,26,57.9,2
U00023_03,CUST00023,2025-12-01,11.95,22,33.68,1
U00023_04,CUST00023,2026-01-01,40.08,16,45.06,0
U00023_05,CUST00023,2026-02-01,39.7,17,37.46,1
U00023_06,CUST00023,2026-03-01,11.67,15,22.78,0
U00023_07,CUST00023,2026-04-01,30.55,26,41.98,0
U00024_01,CUST00024,2024-05-01,10.39,13,42.29,4
U00024_02,CUST00024,2024-06-01,8.16,19,38.5,1
U00024_03,CUST00024,2024-07-01,5.88,2,10.27,1
U00024_04,CUST00024,2024-08-01,31.88,16,36.22,1
U00024_05,CUST00024,2024-09-01,22.48,20,22.65,1
U00024_06,CUST00024,2024-10-01,35.89,20,25.54,1
U00024_07,CUST00024,2024-11-01,4.99,15,21.46,1
U00024_08,CUST00024,2024-12-01,9.89,20,40.99,2
U00024_09,CUST00024,2025-01-01,18.85,16,32.83,3
U00024_10,CUST00024,2025-02-01,15.02,11,34.38,0
U00024_11,CUST00024,2025-03-01,23.38,22,33.9,1
U00024_12,CUST00024,2025-04-01,34.42,28,28.48,2
U00024_13,CUST00024,2025-05-01,45.88,27,21.86,1
U00024_14,CUST00024,2025-06-01,30.85,33,30.24,3
U00024_15,CUST00024,2025-07-01,13.55,19,27.6,0
U00024_16,CUST00024,2025-08-01,3.63,16,11.32,0
U00024_17,CUST00024,2025-09-01,6.99,23,29.95,0
U00025_01,CUST00025,2026-03-01,35.71,18,28.01,0
U00025_02,CUST00025,2026-04-01,13.28,23,30.19,1
U00025_03,CUST00025,2026-05-01,33.09,14,27.17,0
U00026_01,CUST00026,2026-03-01,3.84,12,47.21,0
U00026_02,CUST00026,2026-04-01,14.79,21,30.32,1
U00026_03,CUST00026,2026-05-01,37.48,5,39.08,2
U00027_01,CUST00027,2026-04-01,19.68,16,58.78,0
U00028_01,CUST00028,2024-03-01,32.01,27,25.54,1
U00028_02,CUST00028,2024-04-01,49.32,16,46.33,4
U00028_03,CUST00028,2024-05-01,31.02,5,47.86,1
U00028_04,CUST00028,2024-06-01,30.8,10,29.85,1
U00028_05,CUST00028,2024-07-01,39.95,27,30.49,0
U00028_06,CUST00028,2024-08-01,12.74,6,44.72,0
U00028_07,CUST00028,2024-09-01,19.76,19,31.54,0
U00028_08,CUST00028,2024-10-01,9.31,17,36.09,0
U00028_09,CUST00028,2024-11-01,19.04,15,13.96,1
U00028_10,CUST00028,2024-12-01,16.15,22,28.66,2
U00028_11,CUST00028,2025-01-01,6.79,7,20.06,1
U00028_12,CUST00028,2025-02-01,21.81,16,44.28,0
U00028_13,CUST00028,2025-03-01,12.1,13,19.39,2
U00028_14,CUST00028,2025-04-01,11.46,16,20.92,1
U00028_15,CUST00028,2025-05-01,23.73,24,19.7,0
U00028_16,CUST00028,2025-06-01,26.55,36,16.97,0
U00028_17,CUST00028,2025-07-01,23.39,30,35.08,0
U00028_18,CUST00028,2025-08-01,15.77,22,28.3,1
U00029_01,CUST00029,2024-04-01,16.33,26,15.96,1
U00029_02,CUST00029,2024-05-01,18.51,25,24.56,0
U00029_03,CUST00029,2024-06-01,22.46,25,27.48,1
U00029_04,CUST00029,2024-07-01,10.61,8,9.06,1
U00029_05,CUST00029,2024-08-01,13.0,24,23.13,0
U00029_06,CUST00029,2024-09-01,26.81,23,26.0,2
U00029_07,CUST00029,2024-10-01,30.4,17,9.18,0
U00029_08,CUST00029,2024-11-01,6.23,6,10.08,2
U00029_09,CUST00029,2024-12-01,16.63,4,20.13,0
U00029_10,CUST00029,2025-01-01,42.72,18,1.92,0
U00029_11,CUST00029,2025-02-01,12.32,23,16.06,0
U00029_12,CUST00029,2025-03-01,6.78,17,18.6,0
U00029_13,CUST00029,2025-04-01,23.54,1,19.84,1
U00029_14,CUST00029,2025-05-01,22.66,14,26.43,1
U00029_15,CUST00029,2025-06-01,27.45,20,12.91,0
U00029_16,CUST00029,2025-07-01,5.24,17,12.76,1
U00029_17,CUST00029,2025-08-01,21.93,13,18.15,0
U00030_01,CUST00030,2025-12-01,13.92,27,41.26,0
U00030_02,CUST00030,2026-01-01,26.91,12,32.89,0
U00030_03,CUST00030,2026-02-01,22.5,22,44.04,0
U00030_04,CUST00030,2026-03-01,25.3,17,17.56,0
U00030_05,CUST00030,2026-04-01,3.3,14,30.52,1
U00031_01,CUST00031,2025-06-01,36.58,11,38.38,1
U00031_02,CUST00031,2025-07-01,14.28,16,14.56,1
U00031_03,CUST00031,2025-08-01,21.51,16,22.06,1
U00031_04,CUST00031,2025-09-01,64.39,23,37.38,1
U00031_05,CUST00031,2025-10-01,19.58,23,39.18,2
U00031_06,CUST00031,2025-11-01,17.38,19,33.02,0
U00031_07,CUST00031,2025-12-01,44.59,19,32.51,1
U00031_08,CUST00031,2026-01-01,22.19,19,9.27,0
U00031_09,CUST00031,2026-02-01,10.89,12,24.03,1
U00031_10,CUST00031,2026-03-01,12.9,17,32.21,1
U00031_11,CUST00031,2026-04-01,22.93,13,26.02,0
U00031_12,CUST00031,2026-05-01,39.41,21,35.26,1
U00032_01,CUST00032,2024-05-01,54.87,18,26.42,1
U00032_02,CUST00032,2024-06-01,13.6,8,15.33,0
U00032_03,CUST00032,2024-07-01,25.86,20,2.02,1
U00032_04,CUST00032,2024-08-01,26.06,19,18.41,0
U00032_05,CUST00032,2024-09-01,25.55,18,17.15,1
U00032_06,CUST00032,2024-10-01,8.64,11,22.72,2
U00032_07,CUST00032,2024-11-01,28.33,16,5.5,0
U00032_08,CUST00032,2024-12-01,28.12,14,20.66,1
U00032_09,CUST00032,2025-01-01,56.66,16,10.42,2
U00032_10,CUST00032,2025-02-01,6.64,8,1.97,4
U00032_11,CUST00032,2025-03-01,13.0,23,31.79,0
U00032_12,CUST00032,2025-04-01,8.63,7,18.33,0
U00032_13,CUST00032,2025-05-01,15.62,22,2.6,1
U00032_14,CUST00032,2025-06-01,53.95,11,4.7,3
U00032_15,CUST00032,2025-07-01,18.59,28,22.09,0
U00032_16,CUST00032,2025-08-01,8.1,15,22.44,0
U00032_17,CUST00032,2025-09-01,22.52,26,7.29,2
U00033_01,CUST00033,2026-02-01,31.45,10,20.02,2
U00033_02,CUST00033,2026-03-01,30.86,16,46.6,1
U00033_03,CUST00033,2026-04-01,5.8,12,37.23,1
U00033_04,CUST00033,2026-05-01,28.81,7,41.7,0
U00034_01,CUST00034,2025-06-01,35.91,24,40.39,0
U00034_02,CUST00034,2025-07-01,13.6,21,39.79,1
U00034_03,CUST00034,2025-08-01,20.0,22,36.54,1
U00034_04,CUST00034,2025-09-01,14.37,7,28.43,2
U00034_05,CUST00034,2025-10-01,50.27,18,36.92,1
U00034_06,CUST00034,2025-11-01,14.46,10,21.88,2
U00034_07,CUST00034,2025-12-01,29.31,8,32.7,0
U00034_08,CUST00034,2026-01-01,13.4,26,16.85,0
U00034_09,CUST00034,2026-02-01,13.49,28,24.96,0
U00034_10,CUST00034,2026-03-01,33.26,14,30.37,0
U00034_11,CUST00034,2026-04-01,22.02,21,20.15,0
U00034_12,CUST00034,2026-05-01,26.9,15,26.72,0
U00035_01,CUST00035,2025-03-01,13.19,24,19.14,2
U00035_02,CUST00035,2025-04-01,14.26,16,46.99,0
U00035_03,CUST00035,2025-05-01,38.79,26,42.14,1
U00035_04,CUST00035,2025-06-01,28.88,7,37.51,0
U00035_05,CUST00035,2025-07-01,24.38,25,43.7,1
U00035_06,CUST00035,2025-08-01,6.84,21,30.9,1
U00035_07,CUST00035,2025-09-01,26.56,17,30.26,0
U00035_08,CUST00035,2025-10-01,24.06,19,27.63,1
U00035_09,CUST00035,2025-11-01,6.41,28,44.9,0
U00035_10,CUST00035,2025-12-01,14.68,19,35.59,0
U00035_11,CUST00035,2026-01-01,27.58,13,23.29,0
U00035_12,CUST00035,2026-02-01,19.28,12,48.15,0
U00035_13,CUST00035,2026-03-01,34.36,20,36.53,3
U00035_14,CUST00035,2026-04-01,41.98,22,24.37,1
U00035_15,CUST00035,2026-05-01,20.52,5,34.85,1
U00036_01,CUST00036,2024-12-01,42.5,16,29.2,0
U00036_02,CUST00036,2025-01-01,27.21,10,37.71,0
U00036_03,CUST00036,2025-02-01,33.87,10,23.75,1
U00036_04,CUST00036,2025-03-01,7.94,8,25.32,2
U00036_05,CUST00036,2025-04-01,34.5,22,32.09,1
U00036_06,CUST00036,2025-05-01,35.52,3,35.67,2
U00036_07,CUST00036,2025-06-01,16.58,32,20.69,0
U00036_08,CUST00036,2025-07-01,10.49,21,27.83,0
U00036_09,CUST00036,2025-08-01,16.77,24,41.18,1
U00036_10,CUST00036,2025-09-01,12.78,9,33.06,1
U00036_11,CUST00036,2025-10-01,6.86,8,26.35,0
U00036_12,CUST00036,2025-11-01,21.43,21,16.14,1
U00036_13,CUST00036,2025-12-01,5.01,18,19.03,0
U00036_14,CUST00036,2026-01-01,24.21,24,34.52,0
U00036_15,CUST00036,2026-02-01,11.04,21,23.94,0
U00036_16,CUST00036,2026-03-01,32.06,16,5.15,0
U00036_17,CUST00036,2026-04-01,23.3,17,24.35,1
U00037_01,CUST00037,2025-05-01,33.41,19,26.4,0
U00037_02,CUST00037,2025-06-01,37.91,14,21.22,0
U00037_03,CUST00037,2025-07-01,12.96,16,25.82,0
U00037_04,CUST00037,2025-08-01,32.69,26,29.91,0
U00037_05,CUST00037,2025-09-01,56.9,19,47.13,0
U00037_06,CUST00037,2025-10-01,25.99,28,39.51,1
U00037_07,CUST00037,2025-11-01,28.41,27,38.98,0
U00037_08,CUST00037,2025-12-01,21.91,17,33.97,1
U00037_09,CUST00037,2026-01-01,23.99,31,43.1,0
U00037_10,CUST00037,2026-02-01,50.06,16,25.7,0
U00037_11,CUST00037,2026-03-01,10.33,23,30.43,1
U00037_12,CUST00037,2026-04-01,22.82,14,37.11,1
U00038_01,CUST00038,2024-12-01,10.79,28,35.5,0
U00038_02,CUST00038,2025-01-01,6.65,22,28.98,1
U00038_03,CUST00038,2025-02-01,24.31,20,24.93,0
U00038_04,CUST00038,2025-03-01,21.59,26,23.89,3
U00038_05,CUST00038,2025-04-01,18.94,14,31.61,1
U00038_06,CUST00038,2025-05-01,18.51,9,38.92,0
U00038_07,CUST00038,2025-06-01,28.38,27,42.71,2
U00038_08,CUST00038,2025-07-01,54.79,30,27.08,0
U00038_09,CUST00038,2025-08-01,26.59,8,29.94,1
U00038_10,CUST00038,2025-09-01,27.47,22,40.85,1
U00038_11,CUST00038,2025-10-01,53.28,14,37.58,0
U00038_12,CUST00038,2025-11-01,18.23,25,42.78,1
U00038_13,CUST00038,2025-12-01,25.25,10,37.63,0
U00038_14,CUST00038,2026-01-01,11.34,15,35.42,0
U00038_15,CUST00038,2026-02-01,26.93,27,36.15,2
U00038_16,CUST00038,2026-03-01,26.07,19,20.49,0
U00038_17,CUST00038,2026-04-01,21.91,23,27.34,0
U00038_18,CUST00038,2026-05-01,18.33,19,24.42,3
U00039_01,CUST00039,2026-02-01,12.82,6,27.37,1
U00039_02,CUST00039,2026-03-01,10.28,12,24.3,1
U00039_03,CUST00039,2026-04-01,8.29,15,35.32,0
U00040_01,CUST00040,2024-03-01,9.92,8,39.81,0
U00040_02,CUST00040,2024-04-01,19.13,12,20.14,1
U00040_03,CUST00040,2024-05-01,3.21,21,35.69,0
U00040_04,CUST00040,2024-06-01,38.35,18,29.21,0
U00040_05,CUST00040,2024-07-01,31.84,17,49.04,0
U00040_06,CUST00040,2024-08-01,15.44,25,14.96,0
U00040_07,CUST00040,2024-09-01,10.98,16,29.0,1
U00040_08,CUST00040,2024-10-01,52.15,29,19.67,1
U00040_09,CUST00040,2024-11-01,28.96,19,21.03,0
U00040_10,CUST00040,2024-12-01,11.11,12,26.52,3
