Payment_ID,Customer_ID,Payment_Date,Amount,Payment_Method,Payment_Status
PAY0000147,CUST00017,2025-06-14,1499,Net Banking,Success
PAY0000148,CUST00017,2025-07-14,1499,Net Banking,Success
PAY0000149,CUST00017,2025-08-14,1499,Net Banking,Success
PAY0000150,CUST00017,2025-09-14,1499,Net Banking,Success
PAY0000151,CUST00017,2025-10-14,1499,Net Banking,Success
PAY0000152,CUST00017,2025-11-14,1499,Net Banking,Failed
PAY0000153,CUST00017,2025-12-14,1499,Net Banking,Success
PAY0000154,CUST00017,2026-01-14,1499,Net Banking,Success
PAY0000155,CUST00018,2025-12-14,799,UPI,Success
PAY0000156,CUST00018,2026-01-14,799,UPI,Success
PAY0000157,CUST00018,2026-02-14,799,UPI,Success
PAY0000158,CUST00018,2026-03-14,799,UPI,Success
PAY0000159,CUST00018,2026-04-14,799,UPI,Success
PAY0000160,CUST00019,2024-02-28,1497,Credit Card,Success
PAY0000161,CUST00019,2024-03-28,499,Credit Card,Success
PAY0000162,CUST00019,2024-04-28,998,Credit Card,Success
PAY0000163,CUST00019,2024-05-28,5988,Credit Card,Failed
PAY0000164,CUST00019,2024-06-28,1497,Credit Card,Success
PAY0000165,CUST00019,2024-07-28,1497,Credit Card,Success
PAY0000166,CUST00019,2024-08-28,1497,Credit Card,Success
PAY0000167,CUST00019,2024-09-28,499,Credit Card,Success
PAY0000168,CUST00019,2024-10-28,499,Credit Card,Success
PAY0000169,CUST00019,2024-11-28,499,Credit Card,Success
PAY0000170,CUST00019,2024-12-28,5988,Credit Card,Success
PAY0000171,CUST00019,2025-01-28,5988,Credit Card,Success
PAY0000172,CUST00020,2024-11-17,1199,UPI,Success
PAY0000173,CUST00020,2024-12-17,1199,UPI,Success
PAY0000174,CUST00020,2025-01-17,1199,UPI,Success
PAY0000175,CUST00020,2025-02-17,1199,UPI,Success
PAY0000176,CUST00020,2025-03-17,1199,UPI,Success
PAY0000177,CUST00020,2025-04-17,1199,UPI,Success
PAY0000178,CUST00020,2025-05-17,1199,UPI,Success
PAY0000179,CUST00020,2025-06-17,1199,UPI,Failed
PAY0000180,CUST00020,2025-07-17,1199,UPI,Failed
PAY0000181,CUST00020,2025-08-17,1199,UPI,Success
PAY0000182,CUST00020,2025-09-17,1199,UPI,Success
PAY0000183,CUST00020,2025-10-17,1199,UPI,Success
PAY0000184,CUST00021,2025-09-28,1199,Debit Card,Failed
PAY0000185,CUST00021,2025-10-28,1199,Debit Card,Success
PAY0000186,CUST00021,2025-11-28,1199,Debit Card,Success
PAY0000187,CUST00021,2025-12-28,1199,Debit Card,Success
PAY0000188,CUST00021,2026-01-28,1199,Debit Card,Success
PAY0000189,CUST00021,2026-02-28,1199,Debit Card,Success
PAY0000190,CUST00021,2026-03-28,1199,Debit Card,Success
PAY0000191,CUST00021,2026-04-28,1199,Debit Card,Success
PAY0000192,CUST00021,2026-05-28,1199,Debit Card,Success
PAY0000193,CUST00022,2025-09-18,499,Credit Card,Success
PAY0000194,CUST00022,2025-10-18,5988,Credit Card,Success
PAY0000195,CUST00022,2025-11-18,5988,Credit Card,Success
PAY0000196,CUST00022,2025-12-18,499,Credit Card,Success
PAY0000197,CUST00022,2026-01-18,1497,Credit Card,Success
PAY0000198,CUST00022,2026-02-18,998,Credit Card,Success
PAY0000199,CUST00022,2026-03-18,499,Credit Card,Success
PAY0000200,CUST00022,2026-04-18,499,Credit Card,Failed
PAY0000201,CUST00022,2026-05-18,499,Credit Card,Success
PAY0000202,CUST00023,2025-10-11,3597,Debit Card,Success
PAY0000203,CUST00023,2025-11-11,1199,Debit Card,Success
PAY0000204,CUST00023,2025-12-11,1199,Debit Card,Success
PAY0000205,CUST00023,2026-01-11,3597,Debit Card,Success
PAY0000206,CUST00023,2026-02-11,3597,Debit Card,Success
PAY0000207,CUST00023,2026-03-11,1199,Debit Card,Success
PAY0000208,CUST00023,2026-04-11,2398,Debit Card,Success
PAY0000209,CUST00024,2024-05-10,1199,Credit Card,Success
PAY0000210,CUST00024,2024-06-10,1199,Credit Card,Success
PAY0000211,CUST00024,2024-07-10,1199,Credit Card,Success
PAY0000212,CUST00024,2024-08-10,1199,Credit Card,Success
PAY0000213,CUST00024,2024-09-10,1199,Credit Card,Success
PAY0000214,CUST00024,2024-10-10,1199,Credit Card,Success
PAY0000215,CUST00024,2024-11-10,1199,Credit Card,Success
PAY0000216,CUST00024,2024-12-10,1199,Credit Card,Failed
PAY0000217,CUST00024,2025-01-10,1199,Credit Card,Success
PAY0000218,CUST00024,2025-02-10,1199,Credit Card,Success
PAY0000219,CUST00024,2025-03-10,1199,Credit Card,Success
PAY0000220,CUST00024,2025-04-10,1199,Credit Card,Success
PAY0000221,CUST00025,2026-03-09,799,Credit Card,Success
PAY0000222,CUST00025,2026-04-09,9588,Credit Card,Success
PAY0000223,CUST00025,2026-05-09,799,Credit Card,Success
PAY0000224,CUST00026,2026-03-12,1598,UPI,Success
PAY0000225,CUST00026,2026-04-12,799,UPI,Success
PAY0000226,CUST00026,2026-05-12,799,UPI,Success
PAY0000227,CUST00027,2026-04-16,799,Credit Card,Success
PAY0000228,CUST00028,2024-03-12,3597,UPI,Failed
PAY0000229,CUST00028,2024-04-12,1199,UPI,Success
PAY0000230,CUST00028,2024-05-12,1199,UPI,Success
PAY0000231,CUST00028,2024-06-12,1199,UPI,Success
PAY0000232,CUST00028,2024-07-12,3597,UPI,Success
PAY0000233,CUST00028,2024-08-12,2398,UPI,Success
PAY0000234,CUST00028,2024-09-12,1199,UPI,Success
PAY0000235,CUST00028,2024-10-12,14388,UPI,Success
PAY0000236,CUST00028,2024-11-12,1199,UPI,Success
PAY0000237,CUST00028,2024-12-12,2398,UPI,Success
PAY0000238,CUST00028,2025-01-12,3597,UPI,Success
PAY0000239,CUST00028,2025-02-12,3597,UPI,Success
PAY0000240,CUST00029,2024-04-28,1497,UPI,Success
PAY0000241,CUST00029,2024-05-28,499,UPI,Success
PAY0000242,CUST00029,2024-06-28,5988,UPI,Success
PAY0000243,CUST00029,2024-07-28,499,UPI,Success
PAY0000244,CUST00029,2024-08-28,5988,UPI,Success
PAY0000245,CUST00029,2024-09-28,499,UPI,Success
PAY0000246,CUST00029,2024-10-28,1497,UPI,Success
PAY0000247,CUST00029,2024-11-28,499,UPI,Success
PAY0000248,CUST00029,2024-12-28,5988,UPI,Success
PAY0000249,CUST00029,2025-01-28,998,UPI,Success
PAY0000250,CUST00029,2025-02-28,499,UPI,Success
PAY0000251,CUST00029,2025-03-28,998,UPI,Failed
PAY0000252,CUST00030,2025-12-14,2998,Net Banking,Success
PAY0000253,CUST00030,2026-01-14,2998,Net Banking,Success
PAY0000254,CUST00030,2026-02-14,2998,Net Banking,Success
PAY0000255,CUST00030,2026-03-14,17988,Net Banking,Success
PAY0000256,CUST00030,2026-04-14,1499,Net Banking,Success
PAY0000257,CUST00031,2025-06-07,1199,AutoPay,Success
PAY0000258,CUST00031,2025-07-07,1199,AutoPay,Success
PAY0000259,CUST00031,2025-08-07,1199,AutoPay,Success
PAY0000260,CUST00031,2025-09-07,1199,AutoPay,Success
PAY0000261,CUST00031,2025-10-07,1199,AutoPay,Success
PAY0000262,CUST00031,2025-11-07,1199,AutoPay,Success
PAY0000263,CUST00031,2025-12-07,1199,AutoPay,Success
PAY0000264,CUST00031,2026-01-07,1199,AutoPay,Success
PAY0000265,CUST00031,2026-02-07,1199,AutoPay,Success
PAY0000266,CUST00031,2026-03-07,1199,AutoPay,Success
PAY0000267,CUST00031,2026-04-07,1199,AutoPay,Success
PAY0000268,CUST00031,2026-05-07,1199,AutoPay,Success
PAY0000269,CUST00032,2024-05-28,499,AutoPay,Success
PAY0000270,CUST00032,2024-06-28,499,AutoPay,Success
PAY0000271,CUST00032,2024-07-28,499,AutoPay,Success
PAY0000272,CUST00032,2024-08-28,499,AutoPay,Success
PAY0000273,CUST00032,2024-09-28,499,AutoPay,Success
PAY0000274,CUST00032,2024-10-28,499,AutoPay,Success
PAY0000275,CUST00032,2024-11-28,499,AutoPay,Success
PAY0000276,CUST00032,2024-12-28,499,AutoPay,Failed
PAY0000277,CUST00032,2025-01-28,499,AutoPay,Success
PAY0000278,CUST00032,2025-02-28,499,AutoPay,Success
PAY0000279,CUST00032,2025-03-28,499,AutoPay,Success
PAY0000280,CUST00032,2025-04-28,499,AutoPay,Success
PAY0000281,CUST00033,2026-02-07,1598,AutoPay,Success
PAY0000282,CUST00033,2026-03-07,799,AutoPay,Success
PAY0000283,CUST00033,2026-04-07,1598,AutoPay,Success
PAY0000284,CUST00033,2026-05-07,9588,AutoPay,Success
PAY0000285,CUST00034,2025-06-27,17988,AutoPay,Failed
PAY0000286,CUST00034,2025-07-27,2998,AutoPay,Success
PAY0000287,CUST00034,2025-08-27,2998,AutoPay,Success
PAY0000288,CUST00034,2025-09-27,1499,AutoPay,Success
PAY0000289,CUST00034,2025-10-27,1499,AutoPay,Failed
PAY0000290,CUST00034,2025-11-27,17988,AutoPay,Success
PAY0000291,CUST00034,2025-12-27,1499,AutoPay,Success
PAY0000292,CUST00034,2026-01-27,4497,AutoPay,Success
PAY0000293,CUST00034,2026-02-27,2998,AutoPay,Success
PAY0000294,CUST00034,2026-03-27,17988,AutoPay,Success
PAY0000295,CUST00034,2026-04-27,1499,AutoPay,Success
PAY0000296,CUST00034,2026-05-27,1499,AutoPay,Success
PAY0000297,CUST00035,2025-03-26,1199,AutoPay,Success
PAY0000298,CUST00035,2025-04-26,1199,AutoPay,Success
PAY0000299,CUST00035,2025-05-26,1199,AutoPay,Success
PAY0000300,CUST00035,2025-06-26,1199,AutoPay,Success
PAY0000301,CUST00035,2025-07-26,1199,AutoPay,Success
PAY0000302,CUST00035,2025-08-26,1199,AutoPay,Success
PAY0000303,CUST00035,2025-09-26,1199,AutoPay,Success
PAY0000304,CUST00035,2025-10-26,1199,AutoPay,Success
PAY0000305,CUST00035,2025-11-26,1199,AutoPay,Success
PAY0000306,CUST00035,2025-12-26,1199,AutoPay,Success
PAY0000307,CUST00035,2026-01-26,1199,AutoPay,Success
PAY0000308,CUST00035,2026-02-26,1199,AutoPay,Success
PAY0000309,CUST00036,2024-12-04,1598,Net Banking,Success
PAY0000310,CUST00036,2025-01-04,1598,Net Banking,Success
PAY0000311,CUST00036,2025-02-04,2397,Net Banking,Success
PAY0000312,CUST00036,2025-03-04,9588,Net Banking,Success
PAY0000313,CUST00036,2025-04-04,9588,Net Banking,Success
PAY0000314,CUST00036,2025-05-04,2397,Net Banking,Success
PAY0000315,CUST00036,2025-06-04,2397,Net Banking,Success
PAY0000316,CUST00036,2025-07-04,799,Net Banking,Success
PAY0000317,CUST00036,2025-08-04,1598,Net Banking,Success
PAY0000318,CUST00036,2025-09-04,799,Net Banking,Success
PAY0000319,CUST00036,2025-10-04,799,Net Banking,Success
PAY0000320,CUST00036,2025-11-04,1598,Net Banking,Success
PAY0000321,CUST00037,2025-05-12,9588,Credit Card,Success
PAY0000322,CUST00037,2025-06-12,1598,Credit Card,Success
PAY0000323,CUST00037,2025-07-12,799,Credit Card,Success
PAY0000324,CUST00037,2025-08-12,1598,Credit Card,Success
PAY0000325,CUST00037,2025-09-12,799,Credit Card,Success
PAY0000326,CUST00037,2025-10-12,799,Credit Card,Success
PAY0000327,CUST00037,2025-11-12,799,Credit Card,Success
PAY0000328,CUST00037,2025-12-12,1598,Credit Card,Success
PAY0000329,CUST00037,2026-01-12,799,Credit Card,Success
PAY0000330,CUST00037,2026-02-12,799,Credit Card,Success
PAY0000331,CUST00037,2026-03-12,1598,Credit Card,Success
PAY0000332,CUST00037,2026-04-12,799,Credit Card,Success
PAY0000333,CUST00038,2024-12-11,3597,Net Banking,Success
PAY0000334,CUST00038,2025-01-11,1199,Net Banking,Success
PAY0000335,CUST00038,2025-02-11,1199,Net Banking,Success
PAY0000336,CUST00038,2025-03-11,1199,Net Banking,Success
PAY0000337,CUST00038,2025-04-11,2398,Net Banking,Success
PAY0000338,CUST00038,2025-05-11,14388,Net Banking,Failed
PAY0000339,CUST00038,2025-06-11,1199,Net Banking,Success
PAY0000340,CUST00038,2025-07-11,3597,Net Banking,Success
PAY0000341,CUST00038,2025-08-11,1199,Net Banking,Failed
PAY0000342,CUST00038,2025-09-11,2398,Net Banking,Success
PAY0000343,CUST00038,2025-10-11,14388,Net Banking,Success
PAY0000344,CUST00038,2025-11-11,1199,Net Banking,Success
PAY0000345,CUST00039,2026-02-24,1598,UPI,Success
PAY0000346,CUST00039,2026-03-24,9588,UPI,Success
PAY0000347,CUST00039,2026-04-24,799,UPI,Success
PAY0000348,CUST00040,2024-03-18,1199,AutoPay,Success
PAY0000349,CUST00040,2024-04-18,3597,AutoPay,Success
PAY0000350,CUST00040,2024-05-18,14388,AutoPay,Success
PAY0000351,CUST00040,2024-06-18,1199,AutoPay,Success
PAY0000352,CUST00040,2024-07-18,1199,AutoPay,Success
PAY0000353,CUST00040,2024-08-18,2398,AutoPay,Success
PAY0000354,CUST00040,2024-09-18,2398,AutoPay,Success
PAY0000355,CUST00040,2024-10-18,1199,AutoPay,Success
PAY0000356,CUST00040,2024-11-18,2398,AutoPay,Success
PAY0000357,CUST00040,2024-12-18,1199,AutoPay,Success
PAY0000358,CUST00040,2025-01-18,14388,AutoPay,Success
PAY0000359,CUST00040,2025-02-18,2398,AutoPay,Success
PAY0000360,CUST00041,2025-12-25,1499,AutoPay,Success
PAY0000361,CUST00041,2026-01-25,1499,AutoPay,Success
PAY0000362,CUST00041,2026-02-25,1499,AutoPay,Success
PAY0000363,CUST00041,2026-03-25,1499,AutoPay,Success
PAY0000364,CUST00041,2026-04-25,1499,AutoPay,Success
PAY0000365,CUST00042,2024-09-08,4497,Net Banking,Success
PAY0000366,CUST00042,2024-10-08,1499,Net Banking,Failed
PAY0000367,CUST00042,2024-11-08,4497,Net Banking,Success
PAY0000368,CUST00042,2024-12-08,1499,Net Banking,Success
PAY0000369,CUST00042,2025-01-08,1499,Net Banking,Success
PAY0000370,CUST00042,2025-02-08,1499,Net Banking,Success
PAY0000371,CUST00042,2025-03-08,17988,Net Banking,Success
PAY0000372,CUST00042,2025-04-08,2998,Net Banking,Success
PAY0000373,CUST00042,2025-05-08,2998,Net Banking,Failed
PAY0000374,CUST00042,2025-06-08,4497,Net Banking,Success
PAY0000375,CUST00042,2025-07-08,1499,Net Banking,Success
PAY0000376,CUST00042,2025-08-08,17988,Net Banking,Success
PAY0000377,CUST00043,2025-05-02,499,Credit Card,Success
PAY0000378,CUST00043,2025-06-02,499,Credit Card,Success
PAY0000379,CUST00043,2025-07-02,499,Credit Card,Success
PAY0000380,CUST00043,2025-08-02,499,Credit Card,Success
PAY0000381,CUST00043,2025-09-02,499,Credit Card,Success
PAY0000382,CUST00043,2025-10-02,499,Credit Card,Success
PAY0000383,CUST00043,2025-11-02,499,Credit Card,Success
PAY0000384,CUST00043,2025-12-02,499,Credit Card,Success
PAY0000385,CUST00043,2026-01-02,499,Credit Card,Failed
PAY0000386,CUST00043,2026-02-02,499,Credit Card,Success
PAY0000387,CUST00043,2026-03-02,499,Credit Card,Success
PAY0000388,CUST00043,2026-04-02,499,Credit Card,Success
PAY0000389,CUST00044,2024-11-09,1199,AutoPay,Success
PAY0000390,CUST00044,2024-12-09,1199,AutoPay,Success
PAY0000391,CUST00044,2025-01-09,1199,AutoPay,Success
PAY0000392,CUST00044,2025-02-09,1199,AutoPay,Success
PAY0000393,CUST00044,2025-03-09,1199,AutoPay,Success
PAY0000394,CUST00044,2025-04-09,1199,AutoPay,Success
PAY0000395,CUST00044,2025-05-09,1199,AutoPay,Success
PAY0000396,CUST00044,2025-06-09,1199,AutoPay,Success
PAY0000397,CUST00044,2025-07-09,1199,AutoPay,Success
PAY0000398,CUST00044,2025-08-09,1199,AutoPay,Success
PAY0000399,CUST00044,2025-09-09,1199,AutoPay,Success
PAY0000400,CUST00044,2025-10-09,1199,AutoPay,Success
PAY0000401,CUST00045,2026-01-28,799,Debit Card,Success
PAY0000402,CUST00045,2026-02-28,799,Debit Card,Success
PAY0000403,CUST00045,2026-03-28,799,Debit Card,Success
PAY0000404,CUST00045,2026-04-28,9588,Debit Card,Success
PAY0000405,CUST00046,2025-06-28,1199,Credit Card,Success
PAY0000406,CUST00046,2025-07-28,3597,Credit Card,Success
PAY0000407,CUST00046,2025-08-28,1199,Credit Card,Success
PAY0000408,CUST00046,2025-09-28,2398,Credit Card,Success
PAY0000409,CUST00046,2025-10-28,2398,Credit Card,Success
PAY0000410,CUST00046,2025-11-28,2398,Credit Card,Success
PAY0000411,CUST00046,2025-12-28,1199,Credit Card,Failed
PAY0000412,CUST00046,2026-01-28,1199,Credit Card,Success
PAY0000413,CUST00046,2026-02-28,1199,Credit Card,Success
PAY0000414,CUST00046,2026-03-28,1199,Credit Card,Success
PAY0000415,CUST00046,2026-04-28,2398,Credit Card,Success
PAY0000416,CUST00047,2024-04-26,499,AutoPay,Success
PAY0000417,CUST00047,2024-05-26,499,AutoPay,Success
PAY0000418,CUST00047,2024-06-26,499,AutoPay,Success
PAY0000419,CUST00047,2024-07-26,499,AutoPay,Success
PAY0000420,CUST00047,2024-08-26,499,AutoPay,Success
PAY0000421,CUST00047,2024-09-26,499,AutoPay,Success
PAY0000422,CUST00047,2024-10-26,499,AutoPay,Success
PAY0000423,CUST00047,2024-11-26,499,AutoPay,Success
PAY0000424,CUST00047,2024-12-26,499,AutoPay,Success
PAY0000425,CUST00047,2025-01-26,499,AutoPay,Success
PAY0000426,CUST00047,2025-02-26,499,AutoPay,Success
PAY0000427,CUST00047,2025-03-26,499,AutoPay,Success
PAY0000428,CUST00048,2025-08-05,799,Debit Card,Success
PAY0000429,CUST00048,2025-09-05,799,Debit Card,Success
PAY0000430,CUST00048,2025-10-05,2397,Debit Card,Success
PAY0000431,CUST00048,2025-11-05,799,Debit Card,Success
PAY0000432,CUST00048,2025-12-05,799,Debit Card,Failed
PAY0000433,CUST00048,2026-01-05,799,Debit Card,Success
PAY0000434,CUST00048,2026-02-05,1598,Debit Card,Success
PAY0000435,CUST00048,2026-03-05,1598,Debit Card,Success
PAY0000436,CUST00048,2026-04-05,9588,Debit Card,Success
PAY0000437,CUST00048,2026-05-05,2397,Debit Card,Success
PAY0000438,CUST00049,2025-04-26,1199,Net Banking,Success
PAY0000439,CUST00049,2025-05-26,1199,Net Banking,Success
PAY0000440,CUST00049,2025-06-26,1199,Net Banking,Failed
PAY0000441,CUST00049,2025-07-26,1199,Net Banking,Success
PAY0000442,CUST00049,2025-08-26,1199,Net Banking,Success
PAY0000443,CUST00049,2025-09-26,1199,Net Banking,Success
