Subscription_ID,Customer_ID,Plan,Monthly_Fee,Contract_Type,Support_Tier,Start_Date
SUB00096,CUST00096,Basic,499,Quarterly,2,2024-06-14
SUB00097,CUST00097,Standard,799,Monthly,5,2025-02-28
SUB00098,CUST00098,Family,1499,Quarterly,15,2026-03-21
SUB00099,CUST00099,Basic,499,Annual,2,2024-06-02
SUB00100,CUST00100,Premium,1199,Monthly,10,2025-10-09
SUB00101,CUST00101,Family,1499,Annual,15,2025-06-20
SUB00102,CUST00102,Basic,499,Monthly,2,2026-03-01
SUB00103,CUST00103,Basic,499,Quarterly,2,2025-12-13
SUB00104,CUST00104,Premium,1199,Annual,10,2025-04-29
SUB00105,CUST00105,Premium,1199,Monthly,10,2026-01-14
SUB00106,CUST00106,Family,1499,Monthly,15,2024-11-09
SUB00107,CUST00107,Standard,799,Annual,5,2025-01-07
SUB00108,CUST00108,Premium,1199,Monthly,10,2025-01-14
SUB00109,CUST00109,Basic,499,Monthly,2,2024-01-27
SUB00110,CUST00110,Standard,799,Annual,5,2024-07-23
SUB00111,CUST00111,Basic,499,Annual,2,2025-10-15
SUB00112,CUST00112,Family,1499,Annual,15,2025-02-11
SUB00113,CUST00113,Premium,1199,Annual,10,2024-11-07
SUB00114,CUST00114,Basic,499,Annual,2,2024-06-24
SUB00115,CUST00115,Basic,499,Quarterly,2,2024-09-07
SUB00116,CUST00116,Family,1499,Annual,15,2024-09-10
SUB00117,CUST00117,Basic,499,Monthly,2,2024-09-03
SUB00118,CUST00118,Premium,1199,Monthly,10,2024-05-17
SUB00119,CUST00119,Basic,499,Monthly,2,2025-07-25
SUB00120,CUST00120,Premium,1199,Quarterly,10,2024-12-01
SUB00121,CUST00121,Basic,499,Quarterly,2,2024-01-28
SUB00122,CUST00122,Family,1499,Monthly,15,2024-05-21
SUB00123,CUST00123,Family,1499,Monthly,15,2025-06-29
SUB00124,CUST00124,Premium,1199,Monthly,10,2024-10-31
SUB00125,CUST00125,Family,1499,Annual,15,2024-05-04
SUB00126,CUST00126,Standard,799,Monthly,5,2024-09-05
SUB00127,CUST00127,Standard,799,Annual,5,2025-07-17
SUB00128,CUST00128,Premium,1199,Quarterly,10,2024-07-09
SUB00129,CUST00129,Standard,799,Monthly,5,2024-07-09
SUB00130,CUST00130,Premium,1199,Monthly,10,2024-05-23
SUB00131,CUST00131,Basic,499,Monthly,2,2024-09-24
SUB00132,CUST00132,Standard,799,Monthly,5,2025-12-07
SUB00133,CUST00133,Family,1499,Annual,15,2025-04-10
SUB00134,CUST00134,Basic,499,Annual,2,2025-06-16
SUB00135,CUST00135,Basic,499,Monthly,2,2025-08-15
SUB00136,CUST00136,Family,1499,Monthly,15,2024-02-02
SUB00137,CUST00137,Premium,1199,Monthly,10,2025-01-19
SUB00138,CUST00138,Family,1499,Quarterly,15,2026-01-15
SUB00139,CUST00139,Family,1499,Quarterly,15,2024-06-07
SUB00140,CUST00140,Basic,499,Monthly,2,2025-02-15
SUB00141,CUST00141,Premium,1199,Annual,10,2025-08-14
SUB00142,CUST00142,Standard,799,Annual,5,2024-11-03
SUB00143,CUST00143,Premium,1199,Monthly,10,2024-04-04
SUB00144,CUST00144,Standard,799,Annual,5,2025-05-05
SUB00145,CUST00145,Family,1499,Monthly,15,2025-10-26
SUB00146,CUST00146,Premium,1199,Monthly,10,2026-01-29
SUB00147,CUST00147,Standard,799,Quarterly,5,2024-09-20
SUB00148,CUST00148,Basic,499,Quarterly,2,2026-02-21
SUB00149,CUST00149,Basic,499,Monthly,2,2024-01-07
SUB00150,CUST00150,Basic,499,Annual,2,2025-05-29
SUB00151,CUST00151,Basic,499,Monthly,2,2024-09-06
SUB00152,CUST00152,Family,1499,Annual,15,2024-02-27
SUB00153,CUST00153,Premium,1199,Monthly,10,2024-07-31
SUB00154,CUST00154,Premium,1199,Monthly,10,2025-01-28
SUB00155,CUST00155,Family,1499,Monthly,15,2026-03-03
SUB00156,CUST00156,Family,1499,Quarterly,15,2025-12-31
SUB00157,CUST00157,Family,1499,Monthly,15,2024-05-15
SUB00158,CUST00158,Premium,1199,Monthly,10,2025-09-03
SUB00159,CUST00159,Family,1499,Monthly,15,2024-10-01
SUB00160,CUST00160,Family,1499,Monthly,15,2025-01-04
SUB00161,CUST00161,Premium,1199,Monthly,10,2024-12-06
SUB00162,CUST00162,Premium,1199,Monthly,10,2024-11-24
SUB00163,CUST00163,Standard,799,Quarterly,5,2025-01-20
SUB00164,CUST00164,Family,1499,Annual,15,2025-10-10
SUB00165,CUST00165,Basic,499,Quarterly,2,2024-03-28
SUB00166,CUST00166,Standard,799,Monthly,5,2024-04-17
SUB00167,CUST00167,Family,1499,Quarterly,15,2025-06-17
SUB00168,CUST00168,Family,1499,Annual,15,2025-06-12
SUB00169,CUST00169,Standard,799,Monthly,5,2024-04-14
SUB00170,CUST00170,Premium,1199,Monthly,10,2025-09-03
SUB00171,CUST00171,Basic,499,Monthly,2,2025-09-21
SUB00172,CUST00172,Standard,799,Quarterly,5,2025-08-11
SUB00173,CUST00173,Family,1499,Monthly,15,2025-02-22
SUB00174,CUST00174,Basic,499,Quarterly,2,2024-06-21
SUB00175,CUST00175,Standard,799,Monthly,5,2024-09-26
SUB00176,CUST00176,Premium,1199,Quarterly,10,2026-04-13
SUB00177,CUST00177,Premium,1199,Annual,10,2024-05-09
SUB00178,CUST00178,Family,1499,Quarterly,15,2025-05-14
SUB00179,CUST00179,Standard,799,Annual,5,2025-03-27
SUB00180,CUST00180,Basic,499,Quarterly,2,2024-11-08
SUB00181,CUST00181,Premium,1199,Annual,10,2024-04-01
SUB00182,CUST00182,Family,1499,Annual,15,2026-01-09
SUB00183,CUST00183,Basic,499,Monthly,2,2025-03-15
SUB00184,CUST00184,Family,1499,Monthly,15,2025-11-05
SUB00185,CUST00185,Basic,499,Annual,2,2025-01-30
SUB00186,CUST00186,Premium,1199,Quarterly,10,2024-09-25
SUB00187,CUST00187,Family,1499,Quarterly,15,2026-02-20
SUB00188,CUST00188,Basic,499,Monthly,2,2025-09-18
SUB00189,CUST00189,Standard,799,Monthly,5,2025-05-23
SUB00190,CUST00190,Premium,1199,Quarterly,10,2024-12-09
SUB00191,CUST00191,Basic,499,Annual,2,2025-11-21
SUB00192,CUST00192,Premium,1199,Monthly,10,2026-04-02
SUB00193,CUST00193,Basic,499,Annual,2,2024-07-02
SUB00194,CUST00194,Family,1499,Monthly,15,2026-01-20
SUB00195,CUST00195,Standard,799,Monthly,5,2026-01-25
SUB00196,CUST00196,Premium,1199,Annual,10,2025-11-09
SUB00197,CUST00197,Basic,499,Monthly,2,2026-03-09
SUB00198,CUST00198,Premium,1199,Monthly,10,2024-05-03
SUB00199,CUST00199,Standard,799,Annual,5,2026-04-06
SUB00200,CUST00200,Standard,799,Monthly,5,2025-07-17
SUB00201,CUST00201,Basic,499,Monthly,2,2025-08-19
SUB00202,CUST00202,Family,1499,Monthly,15,2024-02-21
SUB00203,CUST00203,Standard,799,Monthly,5,2024-08-07
SUB00204,CUST00204,Basic,499,Monthly,2,2025-05-25
SUB00205,CUST00205,Family,1499,Annual,15,2025-10-20
SUB00206,CUST00206,Premium,1199,Monthly,10,2024-01-27
SUB00207,CUST00207,Family,1499,Monthly,15,2024-09-29
SUB00208,CUST00208,Premium,1199,Annual,10,2024-11-21
SUB00209,CUST00209,Basic,499,Monthly,2,2024-07-25
SUB00210,CUST00210,Family,1499,Quarterly,15,2024-11-05
SUB00211,CUST00211,Standard,799,Quarterly,5,2025-12-19
SUB00212,CUST00212,Basic,499,Monthly,2,2026-04-21
SUB00213,CUST00213,Family,1499,Monthly,15,2025-01-30
SUB00214,CUST00214,Family,1499,Monthly,15,2026-04-28
SUB00215,CUST00215,Basic,499,Monthly,2,2024-12-16
SUB00216,CUST00216,Standard,799,Monthly,5,2025-03-17
SUB00217,CUST00217,Basic,499,Monthly,2,2025-11-07
SUB00218,CUST00218,Premium,1199,Annual,10,2024-02-25
SUB00219,CUST00219,Standard,799,Monthly,5,2025-05-15
SUB00220,CUST00220,Premium,1199,Monthly,10,2025-04-01
SUB00221,CUST00221,Premium,1199,Annual,10,2026-02-09
SUB00222,CUST00222,Basic,499,Monthly,2,2024-08-29
SUB00223,CUST00223,Standard,799,Monthly,5,2025-04-04
SUB00224,CUST00224,Premium,1199,Annual,10,2026-04-22
SUB00225,CUST00225,Basic,499,Annual,2,2025-02-10
SUB00226,CUST00226,Family,1499,Monthly,15,2024-12-18
SUB00227,CUST00227,Premium,1199,Quarterly,10,2024-08-21
SUB00228,CUST00228,Standard,799,Monthly,5,2024-05-18
SUB00229,CUST00229,Premium,1199,Monthly,10,2024-02-03
SUB00230,CUST00230,Premium,1199,Monthly,10,2025-08-31
SUB00231,CUST00231,Standard,799,Quarterly,5,2024-01-29
SUB00232,CUST00232,Family,1499,Monthly,15,2025-10-20
SUB00233,CUST00233,Premium,1199,Quarterly,10,2025-07-28
SUB00234,CUST00234,Premium,1199,Quarterly,10,2024-06-02
SUB00235,CUST00235,Standard,799,Monthly,5,2025-11-18
SUB00236,CUST00236,Premium,1199,Monthly,10,2025-11-27
SUB00237,CUST00237,Basic,499,Monthly,2,2025-01-15
SUB00238,CUST00238,Family,1499,Monthly,15,2024-07-18
SUB00239,CUST00239,Family,1499,Monthly,15,2024-05-26
SUB00240,CUST00240,Standard,799,Quarterly,5,2025-08-13
SUB00241,CUST00241,Basic,499,Quarterly,2,2024-11-25
SUB00242,CUST00242,Family,1499,Annual,15,2025-04-11
SUB00243,CUST00243,Basic,499,Monthly,2,2025-08-26
SUB00244,CUST00244,Basic,499,Monthly,2,2025-11-08
SUB00245,CUST00245,Basic,499,Monthly,2,2025-09-29
SUB00246,CUST00246,Standard,799,Annual,5,2024-04-26
SUB00247,CUST00247,Basic,499,Annual,2,2025-01-03
SUB00248,CUST00248,Premium,1199,Annual,10,2024-07-06
SUB00249,CUST00249,Basic,499,Monthly,2,2025-05-09
SUB00250,CUST00250,Family,1499,Quarterly,15,2025-11-16
SUB00251,CUST00251,Family,1499,Annual,15,2025-09-19
SUB00252,CUST00252,Family,1499,Annual,15,2025-01-22
SUB00253,CUST00253,Family,1499,Annual,15,2025-09-25
SUB00254,CUST00254,Basic,499,Monthly,2,2024-01-03
SUB00255,CUST00255,Premium,1199,Quarterly,10,2026-04-21
SUB00256,CUST00256,Family,1499,Monthly,15,2025-04-13
SUB00257,CUST00257,Standard,799,Monthly,5,2025-06-04
SUB00258,CUST00258,Family,1499,Annual,15,2025-03-04
SUB00259,CUST00259,Premium,1199,Quarterly,10,2025-07-20
SUB00260,CUST00260,Basic,499,Monthly,2,2025-11-21
SUB00261,CUST00261,Standard,799,Annual,5,2024-02-24
SUB00262,CUST00262,Standard,799,Monthly,5,2024-08-17
SUB00263,CUST00263,Basic,499,Quarterly,2,2025-01-31
SUB00264,CUST00264,Standard,799,Quarterly,5,2024-10-28
SUB00265,CUST00265,Premium,1199,Monthly,10,2024-06-07
SUB00266,CUST00266,Premium,1199,Monthly,10,2025-03-01
SUB00267,CUST00267,Basic,499,Quarterly,2,2025-04-01
SUB00268,CUST00268,Basic,499,Monthly,2,2024-06-20
SUB00269,CUST00269,Standard,799,Monthly,5,2024-07-29
SUB00270,CUST00270,Standard,799,Annual,5,2024-03-16
SUB00271,CUST00271,Premium,1199,Annual,10,2025-12-18
SUB00272,CUST00272,Family,1499,Annual,15,2025-04-30
SUB00273,CUST00273,Family,1499,Annual,15,2024-03-28
SUB00274,CUST00274,Premium,1199,Monthly,10,2025-10-22
SUB00275,CUST00275,Standard,799,Quarterly,5,2024-11-21
SUB00276,CUST00276,Standard,799,Quarterly,5,2025-04-01
SUB00277,CUST00277,Basic,499,Quarterly,2,2026-04-12
SUB00278,CUST00278,Family,1499,Monthly,15,2024-08-16
SUB00279,CUST00279,Standard,799,Quarterly,5,2026-02-14
SUB00280,CUST00280,Family,1499,Monthly,15,2025-01-13
SUB00281,CUST00281,Premium,1199,Quarterly,10,2025-10-26
SUB00282,CUST00282,Standard,799,Monthly,5,2026-04-16
SUB00283,CUST00283,Premium,1199,Quarterly,10,2025-09-08
SUB00284,CUST00284,Basic,499,Annual,2,2024-05-10
SUB00285,CUST00285,Family,1499,Monthly,15,2024-03-28
SUB00286,CUST00286,Premium,1199,Annual,10,2025-09-30
SUB00287,CUST00287,Standard,799,Monthly,5,2025-12-01
SUB00288,CUST00288,Premium,1199,Annual,10,2026-03-04
SUB00289,CUST00289,Family,1499,Monthly,15,2025-08-26
SUB00290,CUST00290,Standard,799,Monthly,5,2024-10-17
SUB00291,CUST00291,Premium,1199,Monthly,10,2025-02-22
SUB00292,CUST00292,Standard,799,Monthly,5,2026-02-12
SUB00293,CUST00293,Basic,499,Monthly,2,2024-04-12
SUB00294,CUST00294,Premium,1199,Monthly,10,2025-04-27
SUB00295,CUST00295,Family,1499,Monthly,15,2025-12-29
SUB00296,CUST00296,Premium,1199,Annual,10,2024-09-01
SUB00297,CUST00297,Standard,799,Monthly,5,2025-08-19
SUB00298,CUST00298,Premium,1199,Monthly,10,2024-06-28
SUB00299,CUST00299,Family,1499,Monthly,15,2026-02-14
SUB00300,CUST00300,Basic,499,Quarterly,2,2025-12-19
SUB00301,CUST00301,Premium,1199,Monthly,10,2024-03-18
SUB00302,CUST00302,Premium,1199,Monthly,10,2025-05-25
SUB00303,CUST00303,Basic,499,Annual,2,2025-11-23
SUB00304,CUST00304,Premium,1199,Monthly,10,2026-03-29
SUB00305,CUST00305,Premium,1199,Monthly,10,2024-01-13
SUB00306,CUST00306,Standard,799,Monthly,5,2024-10-02
SUB00307,CUST00307,Premium,1199,Annual,10,2025-08-08
SUB00308,CUST00308,Basic,499,Monthly,2,2026-01-07
SUB00309,CUST00309,Family,1499,Annual,15,2026-03-10
SUB00310,CUST00310,Premium,1199,Quarterly,10,2024-06-14
SUB00311,CUST00311,Standard,799,Monthly,5,2024-08-28
SUB00312,CUST00312,Standard,799,Quarterly,5,2024-03-27
SUB00313,CUST00313,Premium,1199,Annual,10,2025-09-03
SUB00314,CUST00314,Premium,1199,Monthly,10,2025-07-01
SUB00315,CUST00315,Family,1499,Annual,15,2026-03-26
SUB00316,CUST00316,Premium,1199,Quarterly,10,2024-03-22
SUB00317,CUST00317,Basic,499,Monthly,2,2024-06-04
SUB00318,CUST00318,Basic,499,Annual,2,2025-01-15
SUB00319,CUST00319,Standard,799,Monthly,5,2025-01-29
SUB00320,CUST00320,Premium,1199,Annual,10,2024-09-16
SUB00321,CUST00321,Family,1499,Monthly,15,2025-01-15
SUB00322,CUST00322,Standard,799,Monthly,5,2024-03-02
SUB00323,CUST00323,Standard,799,Monthly,5,2026-01-20
SUB00324,CUST00324,Standard,799,Monthly,5,2024-10-08
SUB00325,CUST00325,Premium,1199,Quarterly,10,2024-01-20
SUB00326,CUST00326,Family,1499,Monthly,15,2024-05-12
SUB00327,CUST00327,Basic,499,Annual,2,2024-02-20
SUB00328,CUST00328,Basic,499,Annual,2,2025-06-25
SUB00329,CUST00329,Family,1499,Monthly,15,2025-11-12
SUB00330,CUST00330,Standard,799,Quarterly,5,2025-01-15
SUB00331,CUST00331,Basic,499,Monthly,2,2026-04-22
SUB00332,CUST00332,Premium,1199,Annual,10,2025-08-07
SUB00333,CUST00333,Premium,1199,Monthly,10,2025-09-08
SUB00334,CUST00334,Family,1499,Annual,15,2025-05-29
SUB00335,CUST00335,Standard,799,Annual,5,2025-02-12
SUB00336,CUST00336,Basic,499,Quarterly,2,2026-03-06
SUB00337,CUST00337,Standard,799,Annual,5,2024-12-18
SUB00338,CUST00338,Premium,1199,Quarterly,10,2024-09-05
SUB00339,CUST00339,Premium,1199,Monthly,10,2024-01-19
SUB00340,CUST00340,Standard,799,Monthly,5,2024-11-19
SUB00341,CUST00341,Family,1499,Quarterly,15,2024-09-10
SUB00342,CUST00342,Standard,799,Quarterly,5,2025-06-17
SUB00343,CUST00343,Family,1499,Annual,15,2024-11-12
SUB00344,CUST00344,Standard,799,Monthly,5,2026-01-26
SUB00345,CUST00345,Basic,499,Quarterly,2,2025-09-02
SUB00346,CUST00346,Basic,499,Monthly,2,2024-10-03
SUB00347,CUST00347,Family,1499,Quarterly,15,2025-04-13
SUB00348,CUST00348,Premium,1199,Annual,10,2024-02-20
SUB00349,CUST00349,Family,1499,Monthly,15,2025-05-27
SUB00350,CUST00350,Basic,499,Monthly,2,2024-04-02
SUB00351,CUST00351,Family,1499,Quarterly,15,2025-06-20
SUB00352,CUST00352,Basic,499,Annual,2,2026-01-17
SUB00353,CUST00353,Standard,799,Quarterly,5,2025-07-10
SUB00354,CUST00354,Basic,499,Quarterly,2,2025-07-24
SUB00355,CUST00355,Family,1499,Monthly,15,2024-05-17
SUB00356,CUST00356,Family,1499,Quarterly,15,2025-08-08
SUB00357,CUST00357,Standard,799,Monthly,5,2026-04-07
SUB00358,CUST00358,Basic,499,Monthly,2,2026-01-25
SUB00359,CUST00359,Basic,499,Monthly,2,2024-11-11
SUB00360,CUST00360,Standard,799,Monthly,5,2026-01-11
SUB00361,CUST00361,Standard,799,Quarterly,5,2026-03-27
SUB00362,CUST00362,Family,1499,Monthly,15,2024-10-14
SUB00363,CUST00363,Premium,1199,Monthly,10,2024-08-31
SUB00364,CUST00364,Premium,1199,Annual,10,2025-05-27
SUB00365,CUST00365,Standard,799,Monthly,5,2026-02-02
SUB00366,CUST00366,Standard,799,Monthly,5,2024-01-16
SUB00367,CUST00367,Basic,499,Monthly,2,2024-03-13
SUB00368,CUST00368,Standard,799,Quarterly,5,2025-01-27
SUB00369,CUST00369,Standard,799,Quarterly,5,2024-05-27
SUB00370,CUST00370,Family,1499,Quarterly,15,2025-10-27
SUB00371,CUST00371,Basic,499,Quarterly,2,2024-08-29
SUB00372,CUST00372,Standard,799,Monthly,5,2024-08-10
SUB00373,CUST00373,Family,1499,Annual,15,2025-03-21
SUB00374,CUST00374,Standard,799,Quarterly,5,2024-08-04
SUB00375,CUST00375,Standard,799,Monthly,5,2026-04-05
SUB00376,CUST00376,Family,1499,Annual,15,2025-08-14
SUB00377,CUST00377,Standard,799,Monthly,5,2025-04-21
SUB00378,CUST00378,Family,1499,Monthly,15,2025-04-09
SUB00379,CUST00379,Family,1499,Monthly,15,2026-04-08
SUB00380,CUST00380,Standard,799,Annual,5,2025-01-13
SUB00381,CUST00381,Premium,1199,Annual,10,2024-08-03
SUB00382,CUST00382,Premium,1199,Annual,10,2024-09-25
SUB00383,CUST00383,Standard,799,Monthly,5,2025-11-01
SUB00384,CUST00384,Basic,499,Monthly,2,2025-11-19
SUB00385,CUST00385,Basic,499,Quarterly,2,2026-01-12
SUB00386,CUST00386,Family,1499,Quarterly,15,2024-04-23
SUB00387,CUST00387,Standard,799,Quarterly,5,2025-03-27
SUB00388,CUST00388,Family,1499,Monthly,15,2024-06-01
SUB00389,CUST00389,Basic,499,Monthly,2,2025-05-04
SUB00390,CUST00390,Basic,499,Annual,2,2025-10-09
SUB00391,CUST00391,Basic,499,Monthly,2,2024-03-27
SUB00392,CUST00392,Basic,499,Monthly,2,2024-01-17
SUB00393,CUST00393,Basic,499,Annual,2,2026-04-20
SUB00394,CUST00394,Family,1499,Monthly,15,2026-03-29
SUB00395,CUST00395,Standard,799,Annual,5,2025-12-01
SUB00396,CUST00396,Standard,799,Monthly,5,2024-04-12
SUB00397,CUST00397,Family,1499,Quarterly,15,2024-01-08
SUB00398,CUST00398,Family,1499,Annual,15,2025-01-05
SUB00399,CUST00399,Basic,499,Annual,2,2024-12-08
SUB00400,CUST00400,Premium,1199,Monthly,10,2026-02-04
SUB00401,CUST00401,Basic,499,Annual,2,2025-01-19
SUB00402,CUST00402,Family,1499,Monthly,15,2024-10-14
SUB00403,CUST00403,Family,1499,Annual,15,2025-08-14
SUB00404,CUST00404,Family,1499,Monthly,15,2025-03-03
SUB00405,CUST00405,Family,1499,Annual,15,2025-05-22
SUB00406,CUST00406,Standard,799,Annual,5,2024-01-25
SUB00407,CUST00407,Premium,1199,Monthly,10,2025-11-21
SUB00408,CUST00408,Standard,799,Annual,5,2024-06-28
SUB00409,CUST00409,Premium,1199,Annual,10,2025-06-28
SUB00410,CUST00410,Premium,1199,Monthly,10,2024-05-31
SUB00411,CUST00411,Standard,799,Monthly,5,2024-12-21
SUB00412,CUST00412,Family,1499,Monthly,15,2025-08-15
SUB00413,CUST00413,Standard,799,Monthly,5,2024-07-05
SUB00414,CUST00414,Premium,1199,Annual,10,2024-09-23
SUB00415,CUST00415,Premium,1199,Monthly,10,2024-01-05
SUB00416,CUST00416,Premium,1199,Monthly,10,2024-02-11
SUB00417,CUST00417,Standard,799,Annual,5,2024-12-31
SUB00418,CUST00418,Premium,1199,Monthly,10,2024-05-31
SUB00419,CUST00419,Family,1499,Annual,15,2025-04-01
SUB00420,CUST00420,Family,1499,Quarterly,15,2024-03-08
SUB00421,CUST00421,Standard,799,Monthly,5,2026-01-27
SUB00422,CUST00422,Basic,499,Annual,2,2025-03-03
SUB00423,CUST00423,Basic,499,Monthly,2,2026-01-20
SUB00424,CUST00424,Basic,499,Monthly,2,2025-10-13
SUB00425,CUST00425,Premium,1199,Monthly,10,2025-07-10
SUB00426,CUST00426,Family,1499,Monthly,15,2024-01-14
SUB00427,CUST00427,Premium,1199,Quarterly,10,2026-04-18
SUB00428,CUST00428,Standard,799,Annual,5,2024-11-07
SUB00429,CUST00429,Premium,1199,Monthly,10,2025-06-09
SUB00430,CUST00430,Standard,799,Annual,5,2024-07-08
SUB00431,CUST00431,Family,1499,Monthly,15,2026-02-11
SUB00432,CUST00432,Family,1499,Annual,15,2024-05-06
