Ticket_ID,Customer_ID,Ticket_Date,Issue_Type,Priority,Resolution_Days,Satisfaction_Score,Contact_Channel
TKT000137,CUST00180,2025-02-05,Connectivity,Medium,4,4.0,App
TKT000138,CUST00186,2025-11-20,Billing,Medium,2,4.0,Chat
TKT000139,CUST00192,2026-05-05,Billing,Low,1,3.0,Email
TKT000140,CUST00193,2024-10-08,Cancellation,Low,2,3.0,Phone
TKT000141,CUST00194,2026-04-25,Billing,Medium,6,3.0,App
TKT000142,CUST00195,2026-02-15,Connectivity,Medium,4,3.0,App
TKT000143,CUST00195,2026-05-10,Plan Change,High,5,4.0,Email
TKT000144,CUST00195,2026-02-28,Cancellation,Low,5,5.0,App
TKT000145,CUST00195,2026-02-23,Cancellation,Medium,2,4.0,App
TKT000146,CUST00199,2026-05-31,Connectivity,High,3,4.0,App
TKT000147,CUST00199,2026-05-18,Billing,Medium,5,3.0,Phone
TKT000148,CUST00199,2026-04-27,Billing,High,3,3.0,App
TKT000149,CUST00200,2025-11-05,Plan Change,Low,3,5.0,Email
TKT000150,CUST00201,2026-02-14,Billing,Low,6,3.0,App
TKT000151,CUST00206,2024-07-18,Billing,Low,1,4.0,Chat
TKT000152,CUST00208,2026-04-19,Cancellation,Low,6,3.0,App
TKT000153,CUST00209,2026-01-24,Technical,High,1,4.0,Phone
TKT000154,CUST00209,2026-06-13,Plan Change,Medium,3,3.0,Phone
TKT000155,CUST00211,2026-05-05,Connectivity,Low,4,4.0,Email
TKT000156,CUST00212,2026-05-17,Billing,Medium,1,4.0,Email
TKT000157,CUST00214,2026-05-28,Technical,High,3,2.0,Email
TKT000158,CUST00216,2025-10-22,Other,Medium,1,5.0,Phone
TKT000159,CUST00221,2026-06-06,Plan Change,Medium,2,4.0,App
TKT000160,CUST00226,2026-02-12,Billing,Low,2,3.0,Phone
TKT000161,CUST00226,2025-08-28,Billing,Medium,7,4.0,Phone
TKT000162,CUST00226,2026-01-13,Billing,Low,3,4.0,Phone
TKT000163,CUST00226,2025-11-11,Technical,Medium,2,5.0,Email
TKT000164,CUST00227,2025-11-26,Connectivity,High,5,3.0,App
TKT000165,CUST00229,2026-01-10,Billing,Low,6,5.0,App
TKT000166,CUST00231,2025-07-17,Billing,Medium,2,3.0,Email
TKT000167,CUST00232,2026-03-28,Billing,Low,4,3.0,Phone
TKT000168,CUST00234,2025-03-04,Plan Change,Low,5,4.0,Email
TKT000169,CUST00235,2026-06-01,Cancellation,Medium,5,3.0,Chat
TKT000170,CUST00238,2025-07-13,Plan Change,High,3,2.0,App
TKT000171,CUST00239,2025-09-10,Technical,Low,2,3.0,Chat
TKT000172,CUST00244,2026-03-19,Other,Low,13,3.0,Email
TKT000173,CUST00244,2026-02-03,Plan Change,Medium,3,3.0,Phone
TKT000174,CUST00246,2026-04-26,Plan Change,Low,1,4.0,Email
TKT000175,CUST00246,2025-11-18,Plan Change,High,2,2.0,App
TKT000176,CUST00246,2025-04-09,Connectivity,Low,3,4.0,Email
TKT000177,CUST00246,2024-08-27,Cancellation,Medium,3,4.0,Chat
TKT000178,CUST00246,2024-08-06,Cancellation,Low,4,4.0,Email
TKT000179,CUST00248,2024-11-08,Connectivity,Medium,1,3.0,Email
TKT000180,CUST00248,2024-12-26,Billing,Low,5,3.0,App
TKT000181,CUST00252,2025-09-17,Technical,Low,1,4.0,App
TKT000182,CUST00253,2026-05-25,Technical,Medium,4,5.0,App
TKT000183,CUST00255,2026-05-30,Connectivity,Medium,1,4.0,Email
TKT000184,CUST00255,2026-06-18,Plan Change,Low,4,3.0,Email
TKT000185,CUST00265,2025-05-08,Cancellation,Low,1,4.0,Chat
TKT000186,CUST00265,2025-12-02,Billing,Medium,6,4.0,Chat
TKT000187,CUST00266,2025-09-11,Technical,Low,7,3.0,App
TKT000188,CUST00266,2025-12-23,Other,Low,1,4.0,Phone
TKT000189,CUST00267,2025-10-25,Technical,Low,2,3.0,Phone
TKT000190,CUST00267,2025-04-23,Cancellation,Medium,5,5.0,Phone
TKT000191,CUST00270,2025-12-31,Plan Change,Low,4,5.0,Email
TKT000192,CUST00272,2025-10-09,Other,Medium,5,4.0,Phone
TKT000193,CUST00274,2025-12-03,Other,Medium,2,5.0,Email
TKT000194,CUST00274,2026-01-12,Cancellation,Low,2,3.0,Chat
TKT000195,CUST00275,2025-05-22,Billing,Low,3,3.0,Chat
TKT000196,CUST00278,2026-01-22,Billing,Medium,13,4.0,Chat
TKT000197,CUST00279,2026-04-10,Billing,Low,1,3.0,App
TKT000198,CUST00281,2026-04-21,Plan Change,Low,4,2.0,Email
TKT000199,CUST00282,2026-05-09,Connectivity,Low,4,4.0,Phone
TKT000200,CUST00287,2026-01-03,Plan Change,Medium,1,3.0,Email
TKT000201,CUST00290,2025-11-15,Other,Low,16,5.0,Phone
TKT000202,CUST00291,2026-01-11,Technical,High,1,3.0,App
TKT000203,CUST00292,2026-04-02,Cancellation,Low,3,5.0,App
TKT000204,CUST00292,2026-05-27,Connectivity,Medium,1,3.0,Email
TKT000205,CUST00292,2026-05-28,Connectivity,Low,6,4.0,Chat
TKT000206,CUST00294,2025-11-28,Cancellation,Medium,2,3.0,Phone
TKT000207,CUST00295,2026-01-16,Cancellation,Low,5,5.0,Chat
TKT000208,CUST00295,2026-06-14,Connectivity,Medium,3,4.0,Phone
TKT000209,CUST00298,2025-10-04,Plan Change,Medium,4,5.0,Chat
TKT000210,CUST00301,2026-05-01,Other,High,2,3.0,Chat
TKT000211,CUST00302,2025-08-22,Billing,Low,2,4.0,Email
TKT000212,CUST00303,2026-04-29,Technical,Low,6,4.0,Phone
TKT000213,CUST00304,2026-06-13,Plan Change,Low,4,5.0,Email
TKT000214,CUST00306,2025-10-20,Plan Change,Low,2,4.0,Chat
TKT000215,CUST00307,2025-11-26,Connectivity,Medium,2,3.0,Chat
TKT000216,CUST00308,2026-03-23,Plan Change,Medium,1,4.0,Email
TKT000217,CUST00308,2026-05-12,Other,Low,1,3.0,Phone
TKT000218,CUST00308,2026-04-19,Cancellation,Medium,4,3.0,Phone
TKT000219,CUST00308,2026-04-15,Billing,Low,1,5.0,Phone
TKT000220,CUST00308,2026-03-08,Cancellation,Medium,1,5.0,Chat
TKT000221,CUST00309,2026-06-08,Connectivity,Medium,4,5.0,Phone
TKT000222,CUST00309,2026-05-12,Other,Medium,1,3.0,App
TKT000223,CUST00311,2026-03-22,Billing,Low,4,4.0,App
TKT000224,CUST00311,2026-02-25,Billing,Low,15,3.0,Chat
TKT000225,CUST00312,2025-09-27,Connectivity,Low,4,4.0,Phone
TKT000226,CUST00313,2026-04-27,Technical,Low,1,4.0,Phone
TKT000227,CUST00315,2026-04-25,Other,Medium,5,4.0,App
TKT000228,CUST00316,2024-10-10,Billing,Low,5,3.0,Phone
TKT000229,CUST00317,2025-02-07,Billing,Low,1,4.0,App
TKT000230,CUST00317,2025-01-22,Technical,Low,2,2.0,App
TKT000231,CUST00319,2025-08-26,Other,High,2,3.0,Phone
TKT000232,CUST00319,2025-04-30,Other,Medium,2,3.0,Email
TKT000233,CUST00320,2025-12-14,Technical,Low,7,4.0,Phone
TKT000234,CUST00323,2026-04-15,Cancellation,Medium,1,4.0,Chat
TKT000235,CUST00323,2026-03-18,Cancellation,Low,2,2.0,App
TKT000236,CUST00324,2024-10-18,Other,Low,1,3.0,Chat
TKT000237,CUST00325,2025-07-19,Other,Low,5,3.0,Chat
TKT000238,CUST00326,2025-11-11,Cancellation,Medium,8,4.0,Phone
TKT000239,CUST00328,2025-10-31,Cancellation,Low,5,4.0,Chat
TKT000240,CUST00328,2026-03-31,Other,Low,2,4.0,Chat
TKT000241,CUST00329,2026-02-10,Cancellation,High,3,4.0,Phone
TKT000242,CUST00330,2026-06-01,Plan Change,Low,4,4.0,App
TKT000243,CUST00330,2025-01-25,Other,Low,10,4.0,Phone
TKT000244,CUST00331,2026-05-18,Technical,Medium,2,4.0,Chat
TKT000245,CUST00331,2026-05-16,Technical,Medium,11,3.0,Email
TKT000246,CUST00332,2026-01-17,Billing,Medium,2,3.0,App
TKT000247,CUST00338,2026-01-10,Billing,Low,2,5.0,Chat
TKT000248,CUST00339,2024-03-23,Plan Change,Medium,3,3.0,Email
TKT000249,CUST00339,2024-04-06,Plan Change,Medium,4,4.0,Phone
TKT000250,CUST00339,2024-05-18,Billing,Low,6,1.0,App
TKT000251,CUST00339,2024-09-21,Plan Change,Low,2,4.0,Email
TKT000252,CUST00341,2025-07-26,Connectivity,High,4,4.0,Phone
TKT000253,CUST00341,2024-11-22,Other,Low,3,4.0,App
TKT000254,CUST00343,2025-01-30,Cancellation,Low,1,4.0,Email
TKT000255,CUST00345,2026-03-22,Connectivity,Medium,4,4.0,App
TKT000256,CUST00349,2026-04-04,Other,Medium,6,5.0,App
TKT000257,CUST00354,2026-05-25,Cancellation,Low,2,4.0,Email
TKT000258,CUST00354,2025-08-28,Billing,Low,4,3.0,Chat
TKT000259,CUST00354,2025-10-24,Other,Low,5,4.0,Chat
TKT000260,CUST00354,2026-03-24,Other,Medium,8,5.0,Email
TKT000261,CUST00356,2026-01-27,Technical,Low,5,4.0,Phone
TKT000262,CUST00358,2026-03-27,Other,Low,5,4.0,Email
TKT000263,CUST00361,2026-05-28,Other,Low,5,4.0,Phone
TKT000264,CUST00361,2026-06-17,Other,Medium,7,4.0,Email
TKT000265,CUST00361,2026-05-02,Cancellation,Medium,2,4.0,Phone
TKT000266,CUST00362,2024-11-25,Technical,Low,2,4.0,App
TKT000267,CUST00363,2024-12-13,Plan Change,Low,2,4.0,App
TKT000268,CUST00364,2026-06-11,Billing,Low,1,4.0,Email
TKT000269,CUST00365,2026-04-21,Technical,Medium,2,4.0,Email
TKT000270,CUST00365,2026-03-18,Connectivity,Low,3,4.0,Email
TKT000271,CUST00366,2026-01-16,Technical,Medium,4,3.0,Chat
TKT000272,CUST00368,2025-07-26,Connectivity,Medium,5,2.0,Email
TKT000273,CUST00368,2026-06-19,Plan Change,Medium,3,3.0,Email
TKT000274,CUST00369,2025-10-18,Billing,Low,3,2.0,Email
TKT000275,CUST00369,2025-05-31,Plan Change,Low,2,3.0,Chat
TKT000276,CUST00370,2026-03-09,Plan Change,Low,4,3.0,Chat
TKT000277,CUST00371,2025-12-07,Connectivity,Low,2,3.0,App
TKT000278,CUST00372,2025-03-08,Connectivity,Medium,3,3.0,Phone
TKT000279,CUST00372,2025-06-22,Cancellation,Medium,1,4.0,Phone
TKT000280,CUST00373,2026-01-06,Billing,Low,6,3.0,Phone
TKT000281,CUST00373,2025-05-26,Technical,Medium,6,4.0,Chat
TKT000282,CUST00374,2025-06-05,Other,Low,3,3.0,Email
TKT000283,CUST00375,2026-05-07,Connectivity,Low,6,4.0,Email
TKT000284,CUST00376,2025-09-12,Cancellation,Low,1,4.0,Phone
TKT000285,CUST00377,2025-10-23,Cancellation,Medium,4,4.0,App
TKT000286,CUST00378,2025-05-07,Other,High,4,2.0,Phone
TKT000287,CUST00378,2026-04-26,Cancellation,Low,14,1.0,App
TKT000288,CUST00378,2026-02-09,Connectivity,Medium,2,3.0,Phone
TKT000289,CUST00379,2026-05-04,Connectivity,Medium,4,4.0,Phone
TKT000290,CUST00379,2026-05-04,Billing,Medium,2,4.0,Chat
TKT000291,CUST00379,2026-05-25,Other,Low,4,5.0,App
TKT000292,CUST00382,2026-03-31,Other,High,4,4.0,Email
TKT000293,CUST00385,2026-02-21,Billing,Medium,3,3.0,Chat
TKT000294,CUST00386,2025-07-14,Other,High,3,3.0,Phone
TKT000295,CUST00387,2025-07-26,Cancellation,Medium,3,4.0,App
TKT000296,CUST00388,2025-11-20,Other,High,1,4.0,App
TKT000297,CUST00389,2025-10-31,Other,Low,6,4.0,Email
TKT000298,CUST00390,2026-03-09,Billing,High,2,3.0,Chat
TKT000299,CUST00391,2025-05-09,Billing,Medium,2,3.0,Phone
TKT000300,CUST00391,2025-08-30,Cancellation,High,1,3.0,App
TKT000301,CUST00392,2025-09-11,Connectivity,High,4,1.0,Email
TKT000302,CUST00392,2026-02-18,Connectivity,Low,2,2.0,Email
TKT000303,CUST00392,2025-05-23,Cancellation,Low,4,4.0,Chat
TKT000304,CUST00392,2024-02-10,Connectivity,Medium,7,4.0,Phone
TKT000305,CUST00395,2025-12-27,Billing,Low,1,4.0,App
TKT000306,CUST00395,2026-01-23,Other,Low,2,4.0,Chat
TKT000307,CUST00397,2024-06-12,Other,Low,6,5.0,App
TKT000308,CUST00397,2025-03-14,Connectivity,High,7,2.0,Email
TKT000309,CUST00397,2025-09-19,Connectivity,Medium,2,2.0,Email
TKT000310,CUST00398,2025-04-24,Billing,Medium,7,3.0,App
TKT000311,CUST00401,2025-04-30,Plan Change,Low,2,3.0,App
TKT000312,CUST00402,2025-04-02,Other,High,4,4.0,Chat
TKT000313,CUST00403,2026-01-13,Billing,Medium,3,3.0,Chat
TKT000314,CUST00406,2025-11-07,Billing,Low,1,2.0,Phone
TKT000315,CUST00406,2025-07-31,Billing,Low,1,4.0,Phone
TKT000316,CUST00408,2026-02-22,Other,Low,1,3.0,Chat
TKT000317,CUST00408,2025-06-01,Technical,Medium,3,3.0,App
TKT000318,CUST00412,2026-01-05,Connectivity,Low,9,3.0,Phone
TKT000319,CUST00412,2025-09-18,Connectivity,Low,2,3.0,App
TKT000320,CUST00412,2025-11-18,Cancellation,High,2,4.0,Phone
TKT000321,CUST00415,2024-12-26,Other,Low,4,4.0,App
TKT000322,CUST00417,2025-02-21,Cancellation,Medium,4,,Email
TKT000323,CUST00420,2025-10-08,Plan Change,Medium,1,3.0,Chat
TKT000324,CUST00423,2026-03-12,Billing,Low,4,3.0,App
TKT000325,CUST00426,2025-06-22,Connectivity,Medium,1,3.0,Email
TKT000326,CUST00426,2025-03-26,Plan Change,High,3,3.0,Email
TKT000327,CUST00428,2025-03-25,Connectivity,Low,28,4.0,Email
TKT000328,CUST00429,2025-08-21,Cancellation,Low,3,3.0,Chat
TKT000329,CUST00430,2024-12-29,Cancellation,Medium,3,4.0,Chat
TKT000330,CUST00431,2026-05-18,Billing,Low,12,3.0,Phone
TKT000331,CUST00431,2026-04-10,Plan Change,Low,1,5.0,Chat
TKT000332,CUST00431,2026-04-14,Billing,Medium,3,3.0,Phone
TKT000333,CUST00433,2026-02-11,Plan Change,Medium,1,3.0,App
TKT000334,CUST00436,2025-07-02,Billing,Medium,6,5.0,Email
TKT000335,CUST00437,2026-05-08,Cancellation,Medium,2,4.0,App
TKT000336,CUST00437,2025-09-15,Technical,Medium,6,4.0,App
TKT000337,CUST00438,2025-11-18,Plan Change,Low,4,5.0,Email
TKT000338,CUST00439,2026-03-20,Plan Change,Medium,3,4.0,App
TKT000339,CUST00440,2026-03-30,Other,Medium,2,3.0,Phone
TKT000340,CUST00441,2025-12-31,Technical,Medium,1,4.0,Email
TKT000341,CUST00442,2024-12-08,Other,Low,5,5.0,Email
TKT000342,CUST00443,2026-04-28,Other,Low,4,5.0,Phone
TKT000343,CUST00443,2025-12-07,Plan Change,Low,1,3.0,Email
TKT000344,CUST00443,2026-06-01,Connectivity,Low,4,3.0,Email
TKT000345,CUST00444,2026-04-21,Technical,Low,5,3.0,App
TKT000346,CUST00444,2025-06-30,Cancellation,Low,3,4.0,Chat
TKT000347,CUST00451,2025-04-18,Technical,Medium,2,4.0,App
TKT000348,CUST00452,2026-05-13,Plan Change,Low,4,3.0,Email
TKT000349,CUST00452,2026-05-16,Cancellation,Low,5,3.0,Email
TKT000350,CUST00453,2025-12-11,Technical,Low,3,4.0,Email
TKT000351,CUST00453,2025-01-24,Other,High,1,2.0,Chat
TKT000352,CUST00456,2024-11-07,Connectivity,Low,3,2.0,Chat
TKT000353,CUST00458,2025-10-10,Connectivity,Low,1,5.0,Chat
TKT000354,CUST00459,2024-11-14,Other,Low,2,5.0,Chat
TKT000355,CUST00459,2025-04-10,Connectivity,Medium,2,3.0,Phone
TKT000356,CUST00459,2026-02-07,Other,Low,5,5.0,Chat
TKT000357,CUST00459,2025-03-18,Connectivity,Low,9,5.0,Phone
TKT000358,CUST00460,2025-10-20,Other,Low,4,3.0,App
TKT000359,CUST00463,2025-10-15,Connectivity,Low,1,4.0,App
TKT000360,CUST00467,2024-10-23,Connectivity,Medium,5,4.0,Email
TKT000361,CUST00468,2025-12-11,Cancellation,High,2,2.0,Phone
TKT000362,CUST00468,2026-02-27,Other,High,3,3.0,Chat
TKT000363,CUST00468,2024-09-12,Billing,Medium,3,3.0,Phone
TKT000364,CUST00468,2025-01-04,Billing,Medium,4,3.0,App
TKT000365,CUST00470,2025-10-27,Cancellation,Low,4,3.0,App
TKT000366,CUST00470,2026-03-03,Technical,Medium,1,4.0,App
TKT000367,CUST00471,2026-02-13,Plan Change,Low,1,3.0,App
TKT000368,CUST00472,2025-02-12,Plan Change,Medium,1,4.0,Phone
TKT000369,CUST00473,2026-02-14,Billing,Low,3,3.0,Phone
TKT000370,CUST00473,2025-11-25,Cancellation,Medium,8,3.0,App
TKT000371,CUST00473,2025-10-06,Technical,High,2,3.0,Chat
TKT000372,CUST00474,2025-12-31,Cancellation,Low,2,4.0,App
TKT000373,CUST00475,2025-12-19,Billing,Low,5,3.0,Chat
TKT000374,CUST00476,2026-04-21,Cancellation,Medium,1,3.0,App
TKT000375,CUST00476,2026-02-18,Technical,Low,4,3.0,App
TKT000376,CUST00477,2026-02-12,Cancellation,Low,1,4.0,Phone
TKT000377,CUST00477,2026-02-13,Technical,Medium,4,5.0,App
TKT000378,CUST00477,2026-05-29,Billing,Low,4,3.0,Phone
TKT000379,CUST00480,2025-09-16,Connectivity,Medium,3,4.0,Email
TKT000380,CUST00480,2025-11-18,Technical,Low,2,4.0,Chat
TKT000381,CUST00481,2025-11-17,Technical,High,4,3.0,Phone
TKT000382,CUST00483,2026-04-12,Cancellation,Low,7,4.0,Email
